;; -*- coding: utf-8 -*--
a-bi-guo-min-yin-hang 阿比国民银行
biao-xian-huo-yue 表现活跃
biao-xian-qiang-shi 表现强势
biao-xian-wen-ding 表现稳定
biao-xian-yi-ban 表现一般
biao-zhi-xing-shi-jian 标志性事件
biao-zhun-bei-ta-zhi 标准贝塔值
biao-zhun-cha 标准差
biao-zhun-cheng-ben 标准成本
biao-zhun-gu-piao 标准股票
biao-zhun-pu-er 标准普尔
biao-zhun-pu-er-gong-si 标准普尔公司
biao-zhun-pu-er-zhi-shu 标准普尔指数
biao-zhun-yin-hang 标准银行
biao-zhun-yin-hang-ji-tuan 标准银行集团
bing-bu-hui-hen-da 并不会很大
bing-bu-le-guan 并不乐观
bing-can-yue 并参阅
bing-fu-ze 并负责
bing-gou-ce-lue 并购策略
bing-gou-ling-yu 并购领域
bing-gou-ti-cai 并购题材
bing-gou-zhan-lue 并购战略
bing-gu 并股
bing-jiang-jie-guo 并将结果
bing-qie-shi 并且使
bing-tai-shi-chang 病态市场
bing-wu-feng-xian-ti-shi 并无风险提示
bo-bo-fa-gu-piao-zi-xun-wang 博博发股票咨询网
bo-dong-gui-lv 波动规律
bo-dong-lv 波动率
bo-dong-qu-jian 波动区间
bo-dong-xing 波动性
bo-dong-yu-qi 波动预期
bo-duan-cao-zuo 波段操作
bo-duan-tiao-zheng 波段调整
bo-duan-xing 波段性
bo-er-ni-lian-meng 伯尔尼联盟
bo-feng 波峰
bo-feng-di-jian 波峰递减
bo-fu 拨付
bo-fu 波幅
bo-gu 波谷
bo-hai-tou-zi 渤海投资
bo-hai-yin-hang 渤海银行
bo-hai-zheng-quan 渤海证券
bo-hui 拨回
bo-kuan 拨款
bo-lan-cai-jing 博览财经
bo-lan-guo-jia-yin-hang 波兰国家银行
bo-rui-chuan-bo 博瑞传播
bo-sha-li-lun 博傻理论
bo-shi 博时
bo-shi-di-san-chan-ye 博时第三产业
bo-shi-dun-gu-piao-jiao-yi-suo 波士顿股票交易所
bo-shi-dun-shi-ji-xi-qi 波士顿式计息期
bo-shi-ji-jin 博时基金
bo-shi-ji-jin-guan-li-you-xian-gong-si 博时基金管理有限公司
bo-shi-jia-zhi-er-hao 博时价值贰号
bo-shi-jia-zhi-zeng-zhang 博时价值增长
bo-shi-ping-heng-pei-zhi 博时平衡配置
bo-shi-wen-ding-jia-zhi 博时稳定价值
bo-shi-zhu-ti-hang-ye 博时主题行业
bo-tian-jin-rong-wang 博田金融网
bo-xi 剥息
bo-xi-di-ya-zheng-quan 剥息抵押证券
bo-xing-tou-zi 博星投资
bo-yi 博弈
bo-yi-tou-zi-yan-jiu-zhong-xin 搏弈投资研究中心
bo-yin-gong-si 波音公司
bo-yong 拨用
bo-zi-ji-hua 波兹计划
bu-ban 补办
bu-cang 补仓
bu-ce 簿册
bu-chang-dai-kuan 补偿贷款
bu-chang-xing-cun-kuan-yu-e 补偿性存款余额
bu-cheng-gong-jiao-yi 不成功交易
bu-cheng-wen-fa 不成文法
bu-chong-dai-kuan 补充贷款
bu-chong-xie-yi 补充协议
bu-chong-zi-ben-jin 补充资本金
bu-dang-jiao-ge 不当交割
bu-de-chao-guo 不得超过
bu-de-di-yu 不得低于
bu-di-yu 不低于
bu-die-fan-zhang 不跌反涨
bu-ding-qi 不定期
bu-ding-qi-tiao-zheng 不定期调整
bu-dong-chan-di-ya-tou-zi 不动产抵押投资
bu-dong-chan-di-ya-yin-hang 不动产抵押银行
bu-dong-chan-tou-zi 不动产投资
bu-dong-chan-tou-zi-xin-tuo 不动产投资信托
bu-duan-shang-xing 不断上行
bu-duan-shua-xin 不断刷新
bu-duan-ti-gao 不断提高
bu-duan-zeng-cang 不断增仓
bu-duan-zeng-jia 不断增加
bu-duan-zeng-zhang 不断增长
bu-duan-zou-qiang 不断走强
bu-fa-ka-pian 补发卡片
bu-fen-ge-gu 部分个股
bu-fen-gu-fen 部分股份
bu-fen-gu-quan 部分股权
bu-fen-hang-ye 部分行业
bu-fen-xiao-shou 部分销售
bu-fen-zi-jin 部分资金
bu-fu-fa-lv-yi-jian 不附法律意见
bu-fu-xi-piao 不附息票
bu-gei-dai-kuan 不给贷款
bu-gong-ping-jing-zheng 不公平竞争
bu-gui-fan 不规范
bu-gui-ze 不规则
bu-he-fa 不合法
bu-he-gui-huo-dong 不合规活动
bu-hui-da-zhang 不会大涨
bu-hui-shou-qu 不会收取
bu-huo-yue 不活跃
bu-huo-yue-zhang-hu 不活跃账户
bu-huo-yue-zheng-quan 不活跃证券
bu-ji-fang-cheng-shi 簿记方程式
bu-ji-zhang-dan 补寄账单
bu-ji-zhuan-zhang 簿记转账
bu-jia 补价
bu-jian-mian-zhong-jie 不见面中介
bu-jian-shou-yi 不见收益
bu-jie-gu-piao 不洁股票
bu-jin 补进
bu-jing-qi 不景气
bu-ju-you-chi-xu-xing 不具有持续性
bu-kan-hao 不看好
bu-ke-bi 不可比
bu-ke-che-xiao 不可撤销
bu-ke-fen-quan-li 不可分权力
bu-ke-liu-tong 不可流通
bu-ke-neng-can-yu 不可能参与
bu-ke-tiao-kong 不可调控
bu-kong 补空
bu-le-guan 不乐观
bu-lei-dun-sen-lin-ti-xi 布雷顿森林体系
bu-li-qi-huo-he-yue 不利期货合约
bu-lian-xu-shi-chang 不连续市场
bu-liang-dai-kuan 不良贷款
bu-liang-ji-lu 不良记录
bu-liang-zi-chan 不良资产
bu-liang-zi-chan-guan-li 不良资产管理
bu-lu-lei 补录类
bu-men 部门
bu-men-fu-ze-ren 部门负责人
bu-men-jian 部门间
bu-men-zhi-yi 部门之一
bu-ming-que 不明确
bu-neng-ban-li 不能办理
bu-neng-dai-kai 不能代开
bu-neng-dai-kuan 不能贷款
bu-neng-gao-yu 不能高于
bu-neng-huo-de 不能获得
bu-neng-jiao-yi 不能交易
bu-ping-jing-shi-chang 不平静市场
bu-que-ding-xing 不确定性
bu-rong-hu-shi 不容忽视
bu-rong-le-guan 不容乐观
bu-shao-san-hu 不少散户
bu-shao-ye-wu 不少业务
bu-sheng-fan-die 不升反跌
bu-shi-hen-ming-xian 不是很明显
bu-shou-fei 不收费
bu-shou-huan-ying 不受欢迎
bu-shou-sun-shi 不受损失
bu-tie 补贴
bu-tie-dui-xiang 补贴对象
bu-tie-zi-jin 补贴资金
bu-tong-feng-xian-shou-yi 不同风险收益
bu-tong-feng-xian-shou-yi-te-zheng 不同风险收益特征
bu-wan-zheng-deng-zhang 不完整登账
bu-wei-gui 不违规
bu-xia-zhu-chu-xu 不下注储蓄
bu-yao-zhi-ya 不要质押
bu-yao-zhui-zhang 不要追涨
bu-yi-guo-duo 不宜过多
bu-yi-mai-jin 不宜买进
bu-yi-xie-dai-jiao-yi-shi-chang 不易携带交易市场
bu-ying-gai-yi 不应该以
bu-yu-xing-zheng-chu-fa 不予行政处罚
bu-yuan-ju-ming 不愿具名
bu-zai-ju-you 不再具有
bu-zhang-yao-qiu 补涨要求
bu-zheng-dang-mou-li 不正当谋利
bu-zheng-dang-xing-wei 不正当行为
bu-zhi-jie-ying-xiang 不直接影响
bu-zhu-jin 补助金
bu-zu 补足
cai-chan-an-quan 财产安全
cai-chan-bao-xian 财产保险
cai-chan-guan-li 财产管理
cai-chan-zi-ben 财产资本
cai-fu-sheng-huo 财富生活
cai-fu-shi-bao 财富时报
cai-fu-tong 财付通
cai-fu-xin-wen-bao 财富新闻报
cai-fu-zheng-quan 财富证券
cai-fu-zhuan-yi 财富转移
cai-hua-wang 财华网
cai-jing-kuan-wang 财经宽网
cai-jing-lei-bao-zhi 财经类报纸
cai-jing-lei-wang-zhan 财经类网站
cai-jing-lun-tan 财经论坛
cai-jing-mei-ti 财经媒体
cai-jing-pin-dao 财经频道
cai-jing-ren-jia 财经人家
cai-jing-ren-wu 财经人物
cai-jing-shi-bao 财经时报
cai-jing-wang 财经网
cai-jing-wang-zhi-da-quan 财经网址大全
cai-jing-wen-hua 财经文画
cai-jing-zhou-kan 财经周刊
cai-jing-zhuan-ji 财经传记
cai-kuai-xin-bao 财会信报
cai-liao-bu-chong-fen-xin-jian 材料不充分信件
cai-piao-dian 彩票点
cai-piao-ruan-jian 彩票软件
cai-piao-tou-zhu 彩票投注
cai-piao-wang 彩票网
cai-piao-zhi-biao 彩票指标
cai-qu-qie-shi-you-xiao-cuo-shi 采取切实有效措施
cai-shui-guan-li 财税管理
cai-wu-bao-biao 财务报表
cai-wu-bao-gao 财务报告
cai-wu-biao-xian 财务表现
cai-wu-bu 财务部
cai-wu-fang-fa 财务方法
cai-wu-fei-yong 财务费用
cai-wu-feng-xian 财务风险
cai-wu-gang-gan 财务杠杆
cai-wu-gang-gan-xi-shu 财务杠杆系数
cai-wu-gong-si 财务公司
cai-wu-guan-li 财务管理
cai-wu-guan-li-ke 财务管理科
cai-wu-ji-cha-bu 财务稽查部
cai-wu-jie-gou 财务结构
cai-wu-kai-zhi 财务开支
cai-wu-kuai-ji 财务会计
cai-wu-nian-du 财务年度
cai-wu-qing-kuang 财务情况
cai-wu-qing-suan 财务清算
cai-wu-shu-ju 财务数据
cai-wu-tou-zi-zhe 财务投资者
cai-wu-ya-li 财务压力
cai-wu-you-xian-gong-si 财务有限公司
cai-wu-yu-ce-bao-gao 财务预测报告
cai-wu-yu-suan 财务预算
cai-wu-zhu-guan 财务主管
cai-wu-zhuan-yong-zhang 财务专用章
cai-wu-zhuang-kuang-biao 财务状况表
cai-wu-zhuang-kuang-dan 财务状况单
cai-wu-zong-jian 财务总监
cai-xian 财险
cai-xin-tong 财信通
cai-zheng-bu 财政部
cai-zheng-chi-zi 财政赤字
cai-zheng-da-chen 财政大臣
cai-zheng-dai-li-fu-wu 财政代理服务
cai-zheng-shou-ru 财政收入
cai-zheng-tou-zi-zeng-zhang-zhai-wu 财政投资增长债务
cai-zheng-yu-suan 财政预算
cai-zheng-zhai-quan 财政债券
cai-zheng-zheng-ce 财政政策
cai-zhi 财智
cai-zhi-wang 财智网
cai-zhong 彩种
can-bao 参保
can-bao-lv 参保率
can-bao-ren-shu 参保人数
can-jia-hui-yi 参加会议
can-kao-wen-xian 参考文献
can-kao-xi 参考系
can-kao-yi-ju 参考依据
can-lv 惨绿
can-yu-cheng-du 参与程度
can-yu-fen-hong 参与分红
can-yu-gong-si 参与公司
can-yu-jia-zhi 残余价值
can-yu-jiao-yi-suo 参与交易所
can-yu-jing-ji-jiao-yi-shang 参与经纪交易商
can-yu-ping-zheng 参与凭证
can-yu-ren 参与人
can-yu-zhe 参与者
can-yu-zheng-quan 参与证券
can-zhi 残值
can-zhi-lv 残值率
can-zhi-zhai-quan 残值债券
can-zhi-zheng-quan 残值证券
cang-dan 仓单
cang-wei 仓位
cang-wei-bian-hua 仓位变化
cao-zong-gu-piao-jia-ge 操纵股票价格
cao-zong-shi-chang 操纵市场
cao-zuo-ce-lue 操作策略
cao-zuo-fang-shi 操作方式
cao-zuo-feng-xian 操作风险
cao-zuo-gui-fan 操作规范
cao-zuo-huan-jie 操作环节
cao-zuo-liu-cheng 操作流程
cao-zuo-pin-fan 操作频繁
cao-zuo-si-lu 操作思路
cao-zuo-si-wei 操作思维
cao-zuo-yuan 操作员
cao-zuo-yuan-gong-hao 操作员工号
cao-zuo-zhi-nan 操作指南
ce-lue-yan-jiu 策略研究
cha-bie-guan-shui 差别关税
cha-dui-ka 插队卡
cha-e 差额
cha-feng-kou-ya 查封扣押
cha-jia 差价
cha-ku 查库
cha-tou 差头
cha-yi 差异
chai-gu 拆股
chai-huo 拆伙
chai-jie-shi-chang 拆借市场
chai-kai-chu-shou 拆开出售
chai-xi 拆细
chan-cheng-pin 产成品
chan-liang-zui-da 产量最大
chan-pin-an-li 产品案例
chan-pin-fu-wu 产品服务
chan-pin-jie-shao 产品介绍
chan-pin-jin-qiao 产品紧俏
chan-pin-shen-he 产品审核
chan-pin-xiao-shou-neng-li 产品销售能力
chan-pin-yu-fu-wu 产品与服务
chan-quan-dao-kan 产权导刊
chan-quan-jie-ding 产权界定
chan-quan-shi-chang 产权市场
chan-sheng-ming-xian-ying-xiang 产生明显影响
chan-ye-fa-zhan 产业发展
chan-ye-tou-zi-ji-jin 产业投资基金
chan-ye-you-shi 产业优势
chan-ye-zi-ben 产业资本
chang-cheng-an-xin-hui-bao 长城安心回报
chang-cheng-dian-nao 长城电脑
chang-cheng-ji-jin 长城基金
chang-cheng-ji-jin-guan-li-you-xian-gong-si 长城基金管理有限公司
chang-cheng-ka 长城卡
chang-cheng-wei-ye 长城伟业
chang-cheng-xiao-fei 长城消费
chang-cheng-zheng-quan 长城证券
chang-cheng-zi-chan-guan-li-gong-si 长城资产管理公司
chang-fang 厂房
chang-fu 偿付
chang-fu-neng-li 偿付能力
chang-gui-dai-kuan 常规贷款
chang-gui-di-ya-dai-kuan 常规抵押贷款
chang-gui-guo-shou-zheng-quan 常规过手证券
chang-gui-qi-quan 常规期权
chang-gui-zai-ti 常规载体
chang-gui-zou-shi-tu 常规走势图
chang-jiang-dian-li 长江电力
chang-jiang-zheng-quan 长江证券
chang-nei-jiao-yi 场内交易
chang-nei-zi-jin 场内资金
chang-niu-ge-ju 长牛格局
chang-qi-bu-zhang 长期不涨
chang-qi-chi-you 长期持有
chang-qi-chi-you-zheng-quan 长期持有证券
chang-qi-cun-kuan 长期存款
chang-qi-dai-kuan 长期贷款
chang-qi-gui-hua 长期规划
chang-qi-guo-ku-quan 长期国库券
chang-qi-guo-zhai 长期国债
chang-qi-jin-rong-shi-chang 长期金融市场
chang-qi-kan-hao 长期看好
chang-qi-kan-zhang 长期看涨
chang-qi-li-lv 长期利率
chang-qi-li-yi 长期利益
chang-qi-niu-shi 长期牛市
chang-qi-qu-shi 长期趋势
chang-qi-shang-sheng-qu-shi 长期上升趋势
chang-qi-shou-yi 长期收益
chang-qi-tou-zi-zu-he 长期投资组合
chang-qi-xiang-hao 长期向好
chang-qi-xiang-shang 长期向上
chang-qi-xin-yong-yin-hang 长期信用银行
chang-qi-yu-qi 长期预期
chang-qi-zi-ben 长期资本
chang-qi-zi-chan 长期资产
chang-qi-zou-shi 长期走势
chang-qing-dai-kuan 常青贷款
chang-qing-zhao-gu-shuo-ming-shu 常青招股说明书
chang-sheng-cheng-zhang-jia-zhi 长盛成长价值
chang-sheng-dong-tai-jing-xuan 长盛动态精选
chang-sheng-ji-jin 长盛基金
chang-sheng-tong-zhi-you-shi 长盛同智优势
chang-sheng-wang 常胜网
chang-sheng-zhong-zheng 长盛中证
chang-wai-deng-dai 场外等待
chang-wai-jia-ge 场外价格
chang-wai-jiao-yi 场外交易
chang-wai-jiao-yi-zheng-quan 场外交易证券
chang-wai-wei-tuo 场外委托
chang-xian-cao-zuo-zhe 长线操作者
chang-xin-ji-jin 长信基金
chang-xin-yin-li-jing-xuan 长信银利精选
chang-xin-zeng-li-dong-tai 长信增利动态
chang-yang 长阳
chang-yong-wei-tuo-fang-shi 常用委托方式
chang-yuan-yu-qi 长远预期
chang-zhai 偿债
chang-zhai-fang-shi 偿债方式
chang-zhai-ji-jin 偿债基金
chang-zhai-ji-jin-zhi-chi-zhai-quan 偿债基金支持债券
chang-zhai-zi-jin-xu-yao-liang 偿债资金需要量
chao-biao-zhe 超标者
chao-chang-zeng-zhang 超常增长
chao-di 抄底
chao-die 超跌
chao-die-gu 超跌股
chao-e-gong-zi 超额工资
chao-e-hui-bao 超额回报
chao-e-lei-jin-suo-de-e 超额累进所得额
chao-e-quan-yi 超额权益
chao-e-ren-gou 超额认购
chao-e-ren-gou-bei-shu 超额认购倍数
chao-e-shou-yi 超额收益
chao-fang 炒房
chao-fu-he-jing-ying 超负荷经营
chao-gao 炒高
chao-gu 炒股
chao-gu-ba 炒股吧
chao-guo-shi-zhi 超过市值
chao-guo-yi-ban 超过一半
chao-guo-yu-qi 超过预期
chao-hui-zhe 炒汇者
chao-ji-bei-li-lun 超级杯理论
chao-ji-da-hang-qing 超级大行情
chao-ji-da-le-tou 超级大乐透
chao-ji-gu-piao 超级股票
chao-ji-jiao-yi-xi-tong 超级交易系统
chao-ji-quan-zhong-gu 超级权重股
chao-ji-xian-zhi-zhang-hu 超级限制账户
chao-shui-shou-gou 潮水收购
chao-you-wang 炒邮网
chao-yue-da-pan 超越大盘
chao-yue-quan-xian 超越权限
chao-zuo-ti-cai 炒作题材
che-di-bai-tuo 彻底摆脱
che-di-jie-shu 彻底结束
che-di-shen-ji 彻底审计
che-hui 撤回
che-xiao 撤销
che-xiao-jiao-yi 撤销交易
che-xiao-qian-you-xiao-zhi-ling 撤销前有效指令
che-xiao-ru-ku 撤销入库
che-xiao-xiao-hao 撤销销号
che-zi 撤资
chen-dian-cheng-ben 沉淀成本
chen-mo-he-huo-ren 沉默合伙人
chen-shu-shen-bian 陈述申辩
chen-xing 晨星
cheng-bao-fan-wei 承保范围
cheng-ben-fen-lei-zhang 成本分类账
cheng-ben-geng-di 成本更低
cheng-ben-gou-mai-kuai-ji 成本购买会计
cheng-ben-ji-chu 成本基础
cheng-ben-ji-lu 成本记录
cheng-ben-jia-cheng-he-tong 成本加成合同
cheng-ben-jiao-ge 成本交割
cheng-ben-kao-lv 成本考虑
cheng-ben-kong-zhi 成本控制
cheng-ben-kuai-ji 成本会计
cheng-ben-shang-sheng 成本上升
cheng-ben-shou-yi-fen-xi 成本收益分析
cheng-ben-tui-dong-xing-tong-huo-peng-zhang 成本推动型通货膨胀
cheng-ben-yin-su 成本因素
cheng-ben-zhong-xin 成本中心
cheng-dai-cheng-huan 承贷承还
cheng-dan-bu-fen 承担部分
cheng-dan-di-ya-dai-kuan 承担抵押贷款
cheng-dan-feng-xian 承担风险
cheng-dan-fu-zhai 承担负债
cheng-dan-quan-bu 承担全部
cheng-dan-zhai-wu 承担债务
cheng-dan-zhe 承担者
cheng-dan-zhe 承担着
cheng-du-jian-tou 成都建投
cheng-dui 承兑
cheng-dui-fu-zhai 承兑负债
cheng-dui-jiao-dan 承兑交单
cheng-dui-xin-yong 承兑信用
