;; -*- coding: utf-8 -*--
a-ba-zhou-lin-ye-zhong-xin-yi-yuan 阿坝州林业中心医院
an-ju-yi-yuan 安居医院
an-kang-chang-jiang-yi-yuan 安康长江医院
an-kang-men-zhen 安康门诊
an-kang-shi-can-lian-bo-ai-yi-yuan 安康市残联博爱医院
an-kang-shi-fu-you-bao-jian-yuan 安康市妇幼保健院
an-kang-shi-hong-shi-zi-yi-yuan 安康市红十字医院
an-kang-shi-ren-min-yi-yuan 安康市人民医院
an-kang-shi-sheng-zhi-jian-kang-fu-wu-zhong-xin 安康市生殖健康服务中心
an-kang-shi-zhong-xin-yi-yuan 安康市中心医院
an-kang-xie-he-yi-yuan 安康协和医院
an-kang-yan-ke-yi-yuan 安康眼科医院
an-kang-yi-yuan 安康医院
an-lan-zhen-wei-sheng-yuan 安澜镇卫生院
an-li-yi-yuan 安利医院
an-long-xian-ren-min-yi-yuan 安龙县人民医院
an-long-zhen-wei-sheng-yuan 安龙镇卫生院
an-lu-shi-fu-you-bao-jian-yuan 安陆市妇幼保健院
an-lu-shi-pu-ai-yi-yuan 安陆市普爱医院
an-lu-shi-wang-yi-zhen-zhen-wei-sheng-yuan 安陆市王义贞镇卫生院
an-lu-shi-zhong-yi-yuan 安陆市中医院
an-min-ji-zhu-bing-zhuan-ke-yi-yuan 安民脊柱病专科医院
an-min-yi-yuan 安民医院
an-mo-kang-fu-yi-yuan 按摩康复医院
an-mo-yi-yuan 按摩医院
an-ni-kou-qiang-yi-liao-zhong-xin 安妮口腔医疗中心
an-ning-qu-yi-yuan 安宁区医院
an-ning-shi-ren-min-yi-yuan 安宁市人民医院
an-ning-yi-yuan 安宁医院
an-ping-wei-sheng-yuan 安平卫生院
an-ping-xian-ren-min-yi-yuan 安平县人民医院
an-ping-xian-zhong-yi-yuan 安平县中医院
an-ping-zhen-suo 安平诊所
an-ping-zhong-xin-wei-sheng-yuan 安平中心卫生院
an-pu-yi-yuan 安铺医院
an-qing-shi-di-liu-ren-min-yi-yuan 安庆市第六人民医院
an-qing-shi-fang-zhi-yi-yuan 安庆市纺织医院
an-qing-shi-fu-you-bao-jian-suo 安庆市妇幼保健所
an-qing-shi-jin-ji-jiu-yuan-zhong-xin 安庆市紧急救援中心
an-qing-shi-kou-qiang-bing-fang-zhi-suo 安庆市口腔病防治所
an-qing-xian-dai-fu-ke-yi-yuan 安庆现代妇科医院
an-qing-xie-he-yi-yuan 安庆协和医院
an-qiu-shi-bai-qiu-en-yi-yuan 安丘市白求恩医院
an-qiu-shi-fu-you-bao-jian-yuan 安丘市妇幼保健院
an-qiu-shi-kai-fa-qu-yi-yuan 安丘市开发区医院
an-qiu-shi-kou-qiang-yi-yuan 安丘市口腔医院
an-qiu-shi-li-yi-yuan 安丘市立医院
an-qiu-shi-xin-xing-yi-yuan 安丘市新兴医院
an-qiu-shi-yan-ke-yi-yuan 安丘市眼科医院
an-qiu-shi-zhong-yi-yuan 安丘市中医院
an-quan-wei-sheng-suo 安全卫生所
an-ren-ren-min-yi-yuan 安仁人民医院
an-ren-wei-sheng-yuan 安仁卫生院
an-ren-xian-di-er-ren-min-yi-yuan 安仁县第二人民医院
an-ren-xian-zhong-yi-yuan 安仁县中医院
an-ren-yi-yuan-wei-gong-cun-men-zhen-bu 安仁医院魏公村门诊部
an-sai-xian-ren-min-yi-yuan 安塞县人民医院
an-shan-er-yuan 鞍山二院
an-shan-shi-chuan-ran-bing-yi-yuan 鞍山市传染病医院
an-shan-shi-fu-you-bao-jian-suo 鞍山市妇幼保健所
an-shan-shi-kang-ning-yi-yuan 鞍山市康宁医院
an-shan-shi-kou-qiang-yi-yuan 鞍山市口腔医院
an-shan-shi-qian-shan-yi-yuan 鞍山市千山医院
an-shan-shi-zhi-ye-bing-fang-zhi-yuan 鞍山市职业病防治院
an-shan-tong-ji-men-zhen 鞍山同济门诊
an-shan-yi-ren-yi-yuan 鞍山益仁医院
an-shan-yi-yuan 安山医院
an-shun-jiao-tong-yi-yuan 安顺交通医院
an-shun-shi-di-er-ren-min-yi-yuan 安顺市第二人民医院
an-shun-shi-xi-xiu-qu-zhong-yi-yuan 安顺市西秀区中医院
an-shun-zhong-feng-zhuan-ke-yi-yuan 安顺中风专科医院
an-su-zhen-wei-sheng-yuan 安肃镇卫生院
an-tai-men-zhen 安泰门诊
an-tai-yi-liao 安泰医疗
an-tai-yi-yuan 安泰医院
an-ting-yi-yuan 安亭医院
an-tu-xian-di-san-ren-min-yi-yuan 安图县第三人民医院
an-tu-xian-ren-min-yi-yuan 安图县人民医院
an-tu-xian-zhong-yi-yi-yuan 安图县中医医院
an-tu-yi-yuan 安图医院
an-xi-di-san-yi-yuan 安溪第三医院
an-xi-he-xing-yi-yuan 安溪和兴医院
an-xi-xian-fu-you-bao-jian-yuan 安溪县妇幼保健院
an-xi-xian-ming-xuan-yi-yuan 安溪县铭选医院
an-xi-xian-yi-yuan 安溪县医院
an-xi-zhong-yi-yuan 安溪中医院
an-xian-di-er-ren-min-yi-yuan 安县第二人民医院
an-xiang-xian-fu-you-bao-jian-yuan 安乡县妇幼保健院
an-xiang-xian-ren-min-yi-yuan 安乡县人民医院
an-xiang-zhong-yi-yuan 安乡中医院
an-xin-xian-fu-you-bao-jian-yuan 安新县妇幼保健院
an-xin-xian-yi-yuan 安新县医院
an-xin-xian-zhong-yi-yuan 安新县中医院
an-ya-yi-liao-men-zhen-bu 安雅医疗门诊部
an-yan-kou-qiang-zhen-suo 安燕口腔诊所
an-yang-bo-ai-kang-fu-yi-yuan 安阳博爱康复医院
an-yang-di-qu-yi-yuan 安阳地区医院
an-yang-dong-fang-yi-yuan 安阳东方医院
an-yang-feng-shi-bing-yi-yuan 安阳风湿病医院
an-yang-kuang-wu-ju-zong-yi-yuan 安阳矿务局总医院
an-yang-tong-xin-wu-guan-yi-yuan 安阳同心五官医院
an-yang-xian-fu-you-bao-jian-yuan 安阳县妇幼保健院
an-yang-xian-ren-min-yi-yuan 安阳县人民医院
an-yang-xian-zhong-yi-yuan 安阳县中医院
an-yi-xian-bu-yu-zheng-zhuan-ke-yi-yuan 安义县不育症专科医院
an-yi-xian-yi-yuan 安义县医院
an-yi-xian-zhong-yi-yuan 安义县中医院
an-yuan-xian-fu-nv-er-tong-yi-yuan 安远县妇女儿童医院
an-yuan-xian-zhong-yi-yuan 安远县中医院
an-yue-xian-di-san-ren-min-yi-yuan 安岳县第三人民医院
an-yue-xian-fu-you-bao-jian-yuan 安岳县妇幼保健院
an-yue-xian-hong-shi-zi-hui-yi-yuan 安岳县红十字会医院
an-yue-xian-hu-jian-xiang-wei-sheng-yuan 安岳县护建乡卫生院
an-yue-xian-kang-fu-yi-yuan 安岳县康复医院
an-yue-xian-ren-min-yi-yuan 安岳县人民医院
an-yun-yi-yuan 安运医院
an-ze-xian-ren-min-yi-yuan 安泽县人民医院
an-zhen-yi-yuan 安贞医院
an-zhen-yi-yuan 安真医院
an-zhen-zhong-yi-yuan 安贞中医院
ao-feng-yi-yuan 鳌峰医院
ao-ge-ya-kou-qiang 奥格雅口腔
ao-han-qi-yi-yuan 敖汉旗医院
ao-han-qi-zhong-meng-yi-yuan 敖汉旗中蒙医院
ao-hua-kou-qiang 澳华口腔
ao-li-de-yan-ke-yi-yuan 奥理德眼科医院
ao-shang-wei-sheng-yuan 坳上卫生院
ao-suo-kou-qiang 奥索口腔
ao-xin-chi-ke 奥新齿科
ao-xin-kou-qiang-yi-yuan 奥新口腔医院
ao-yang-shun-ji-yi-yuan 澳洋顺济医院
ao-yang-shun-kang-yi-yuan 澳洋顺康医院
ao-yang-yi-yuan 澳洋医院
ba-chu-xian-ren-min-yi-yuan 巴楚县人民医院
ba-dao-jiang-qu-yi-yuan 八道江区医院
ba-dong-xian-fu-you-bao-jian-yuan 巴东县妇幼保健院
ba-dong-xian-min-zu-yi-yuan 巴东县民族医院
ba-dong-xian-ren-min-yi-yuan 巴东县人民医院
ba-dong-xian-zhong-yi-yi-yuan 巴东县中医医院
ba-fang-she-qu-wei-sheng-fu-wu-zhan 八方社区卫生服务站
ba-fang-yi-yuan 八方医院
ba-gua-zhou-yi-yuan 八卦洲医院
ba-jiao-yi-yuan 八角医院
ba-ju-yi-yuan 八局医院
ba-kang-zhen-suo 疤康诊所
ba-li-wei-sheng-yuan 八里卫生院
ba-li-yi-yuan 八里医院
ba-li-zhuang-she-qu-wei-sheng-zhong-xin 八里庄社区卫生中心
ba-li-zhuang-yi-yuan 八里庄医院
ba-lin-you-qi-fu-you-bao-jian-suo 巴林右旗妇幼保健所
ba-lin-you-qi-ren-min-yi-yuan 巴林右旗人民医院
ba-lin-zuo-qi-yi-yuan 巴林左旗医院
ba-ma-ren-min-yi-yuan 巴马人民医院
ba-nan-qu-fu-you-bao-jian-yuan 巴南区妇幼保健院
ba-nan-qu-ji-ren-yi-yuan 巴南区济仁医院
ba-nan-qu-ren-min-yi-yuan 巴南区人民医院
ba-nan-qu-yi-yuan 巴南区医院
ba-nan-qu-zhong-yi-yuan 巴南区中医院
ba-qian-wei-sheng-yuan 八千卫生院
ba-qiao-kang-fu-yi-yuan 灞桥康复医院
ba-qiao-qu-hong-shi-zi-hui-yi-yuan 灞桥区红十字会医院
ba-qiao-qu-ren-min-yi-yuan 灞桥区人民医院
ba-qiao-qu-zhong-yi-yuan 灞桥区中医院
ba-shan-yi-yuan 巴山医院
ba-yan-nao-er-shi-yi-yuan 巴彦淖尔市医院
ba-yan-nao-er-shi-zhong-yi-yuan 巴彦淖尔市中医院
ba-yan-xian-ren-min-yi-yuan 巴彦县人民医院
ba-yan-xian-yi-yuan 巴彦县医院
ba-yan-xian-zhong-yi-yuan 巴彦县中医院
ba-ye-yi-yuan 八冶医院
ba-yi-er-tong-yi-yuan 八一儿童医院
ba-yi-nong-ken-da-xue-yi-yuan 八一农垦大学医院
ba-yi-yi-yuan 八一医院
ba-zhong-shi-fu-you-bao-jian-yuan 巴中市妇幼保健院
ba-zhong-shi-ren-min-yi-yuan 巴中市人民医院
ba-zhong-shi-zhong-yi-yuan 巴中市中医院
ba-zhou-meng-yi-yuan-ku-er-le-fen-yuan 巴州蒙医院库尔勒分院
ba-zhou-qu-di-er-ren-min-yi-yuan 巴州区第二人民医院
ba-zhou-qu-fu-you-bao-jian-yuan 巴州区妇幼保健院
ba-zhou-qu-ren-min-yi-yuan 巴州区人民医院
ba-zhou-ren-min-yi-yuan 巴州人民医院
ba-zhou-sheng-zhi-yi-xue-yi-yuan 巴州生殖医学医院
ba-zhou-shi-di-er-yi-yuan 霸州市第二医院
ba-zhou-shi-di-yi-yi-yuan 霸州市第一医院
ba-zhou-shi-fu-you-bao-jian-yuan 霸州市妇幼保健院
ba-zhou-shi-kai-fa-qu-yi-yuan 霸州市开发区医院
ba-zhou-shi-kang-ming-gu-ke-yi-yuan 霸州市康明骨科医院
ba-zhou-shi-yi-yuan 霸州市医院
ba-zhou-shi-zhong-yi-yuan 霸州市中医院
ba-zhou-tong-he-zong-he-men-zhen 巴州同和综合门诊
bai-an-men-zhen 百安门诊
bai-cao-tang 百草堂
bai-cao-tang-men-zhen-bu 百草堂门诊部
bai-cao-tang-zhong-yi-guan 百草堂中医馆
bai-cao-tang-zhong-yi-men-zhen-bu 百草堂中医门诊部
bai-cheng-shi-bo-ai-yi-yuan 白城市博爱医院
bai-cheng-shi-di-san-ren-min-yi-yuan 白城市第三人民医院
bai-cheng-shi-yi-yuan 白城市医院
bai-cheng-xian-ren-min-yi-yuan 拜城县人民医院
bai-cheng-zhong-xin-yi-yuan 白城中心医院
bai-dian-feng-yi-yuan 白癜风医院
bai-feng-zhen-wei-sheng-yuan 白峰镇卫生院
bai-gou-fu-ke-yi-yuan 白沟妇科医院
bai-gou-gong-an-yi-yuan 白沟公安医院
bai-gou-hang-tian-yi-yuan 白沟航天医院
bai-gu-tun-yi-yuan 白古屯医院
bai-guan-yi-yuan 白关医院
bai-he-yi-yuan 百合医院
bai-hu-ting-yi-yuan 白湖亭医院
bai-hu-yi-yuan 白湖医院
bai-hua-dong-wei-sheng-zhan 百花洞卫生站
bai-hua-yi-yuan 白花医院
bai-kui-zhen-wei-sheng-yuan 白奎镇卫生院
bai-li-xia-kou-qiang 白丽霞口腔
bai-lin-yi-yuan 白林医院
bai-ma-hu-nong-chang-yi-yuan 白马湖农场医院
bai-ma-hu-yi-yuan 白马湖医院
bai-ma-ji-tuan-yi-yuan 白马集团医院
bai-ma-si-gu-ke-yi-yuan 白马寺骨科医院
bai-ma-wei-sheng-yuan 白马卫生院
bai-ma-xiang-wei-sheng-yuan 白马乡卫生院
bai-ma-yi-yuan 白马医院
bai-mao-wei-sheng-yuan 白茆卫生院
bai-ni-hua-li-yi-yuan 白坭华立医院
bai-ping-chi-ke 百平齿科
bai-qiu-en-guo-ji-he-ping-yi-yuan 白求恩国际和平医院
bai-qiu-en-kou-qiang 白求恩口腔
bai-qiu-en-kou-qiang-men-zhen-bu 白求恩口腔门诊部
bai-qiu-en-yi-da-er-yuan 白求恩医大二院
bai-qiu-en-yi-ke-da-xue-zhu-hai-men-zhen-bu 白求恩医科大学珠海门诊部
bai-qiu-en-yi-yuan 白求恩医院
bai-quan-xian-ren-min-yi-yuan 拜泉县人民医院
bai-se-shi-di-er-ren-min-yi-yuan 百色市第二人民医院
bai-se-shi-ren-min-yi-yuan 百色市人民医院
bai-se-shi-zhong-yi-yuan 百色市中医院
bai-sha-wei-sheng-yuan 白沙卫生院
bai-sha-xian-ren-min-yi-yuan 白沙县人民医院
bai-sha-yi-yuan 白沙医院
bai-sha-zhen-wei-sheng-yuan 白沙镇卫生院
bai-shan-shi-nan-ke-yi-yuan 白山市男科医院
bai-shan-shi-zhong-yi-yuan 白山市中医院
bai-shan-yi-yuan 白山医院
bai-shi-wei-sheng-yuan 白石卫生院
bai-shi-yi-yuan 白石医院
bai-shi-zheng-gu-yi-yuan 白石正骨医院
bai-shu-lin-she-qu-wei-sheng-fu-wu-zhong-xin 柏树林社区卫生服务中心
bai-shu-xiang-wei-sheng-yuan 柏树乡卫生院
bai-shui-xian-fu-you-bao-jian-yuan 白水县妇幼保健院
bai-shui-xian-gu-ke-yi-yuan 白水县骨科医院
bai-shui-xian-hong-shi-zi-hui-yi-yuan 白水县红十字会医院
bai-shui-xian-yi-yuan 白水县医院
bai-shui-xie-he-yi-yuan 白水协和医院
bai-shui-yi-yuan 白水医院
bai-shun-zhong-yi-zhen-suo 百顺中医诊所
bai-ta-wei-sheng-yuan 白塔卫生院
bai-ta-yi-yuan 白塔医院
bai-xia-qu-jian-zhong-zhong-yi-yuan 白下区建中中医院
bai-xia-yi-yuan 白下医院
bai-xiang-xian-ren-min-yi-yuan 柏乡县人民医院
bai-xiang-yi-yuan 白象医院
bai-xin-fu-ke-yi-yuan 百信妇科医院
bai-xin-yi-yuan 百信医院
bai-xing-men-zhen-bu 百姓门诊部
bai-xing-yi-liao 百姓医疗
bai-xing-yi-yuan 百姓医院
bai-xing-zhen-suo 百姓诊所
bai-yin-ai-xin-yi-yuan 白银爱心医院
bai-yin-shi-di-er-ren-min-yi-yuan 白银市第二人民医院
bai-yin-shi-di-yi-ren-min-yi-yuan 白银市第一人民医院
bai-yin-shi-fu-you-bao-jian-yuan 白银市妇幼保健院
bai-yin-shi-ren-min-yi-yuan 白银市人民医院
bai-yu-yi-yuan 白玉医院
bai-yun-lu-yi-yuan 白云路医院
bai-yun-nv-zi-yi-yuan 白云女子医院
bai-yun-qu-di-er-ren-min-yi-yuan 白云区第二人民医院
bai-yun-qu-di-yi-ren-min-yi-yuan 白云区第一人民医院
bai-yun-qu-fu-you-bao-jian-yuan 白云区妇幼保健院
bai-yun-qu-hong-shi-zi-hui-yi-yuan 白云区红十字会医院
bai-yun-qu-jiang-gao-ren-min-yi-yuan 白云区江高人民医院
bai-yun-qu-long-gui-hua-qiao-yi-yuan 白云区龙归华侨医院
bai-yun-qu-ren-min-yi-yuan 白云区人民医院
bai-yun-qu-zhong-luo-tan-zhen-yi-yuan 白云区钟落潭镇医院
bai-yun-qu-zhong-yi-yuan 白云区中医院
bai-yun-shan-yi-yuan 白云山医院
bai-yun-wei-sheng-yuan 白云卫生院
bai-yun-xin-li-yi-yuan 白云心理医院
bai-yun-yi-yuan 白云医院
bai-zhang-wei-sheng-yuan 百丈卫生院
bai-zhi-fang-kou-qiang 白纸坊口腔
bai-zhi-fang-she-qu-wei-sheng-fu-wu-zhong-xin 白纸坊社区卫生服务中心
bai-zhi-fang-yi-yuan 白纸坊医院
ban-fu-yi-yuan 板芙医院
ban-jiu-dian-wei-sheng-yuan 斑鸠店卫生院
ban-pu-yi-yuan 板浦医院
ban-qiao-wei-sheng-yuan 板桥卫生院
ban-qiao-yi-yuan 板桥医院
ban-shang-yan-ke-yi-yuan 坂上眼科医院
ban-song-yuan-di-duan-yi-yuan 半淞园地段医院
ban-tian-yi-yuan 板田医院
bang-hu-hua-qiao-yi-yuan 蚌湖华侨医院
bang-shan-qu-ren-min-yi-yuan 蚌山区人民医院
bang-shan-qu-yi-yuan 蚌山区医院
bao-an-qu-can-ji-ren-kang-fu-zhong-xin 宝安区残疾人康复中心
bao-an-qu-fu-you-bao-jian-yuan 宝安区妇幼保健院
bao-an-qu-gong-ming-yi-yuan 宝安区公明医院
bao-an-qu-ji-hua-sheng-yu-fu-wu-zhong-xin 宝安区计划生育服务中心
bao-an-qu-ji-sheng-zhuan-ke-yi-yuan 宝安区计生专科医院
bao-an-qu-man-xing-bing-fang-zhi-yuan 宝安区慢性病防治院
bao-an-qu-man-xing-bing-yi-yuan 宝安区慢性病医院
bao-an-qu-ren-min-yi-yuan 宝安区人民医院
bao-an-qu-sha-jing-ren-min-yi-yuan 宝安区沙井人民医院
bao-an-qu-shi-yan-yi-yuan 宝安区石岩医院
bao-an-qu-song-gang-ren-min-yi-yuan 宝安区松岗人民医院
bao-an-qu-yi-yuan 宝安区医院
bao-an-qu-zhong-yi-yuan 宝安区中医院
bao-de-xian-ren-min-yi-yuan 保德县人民医院
bao-di-fu-you-yi-yuan 宝坻妇幼医院
bao-di-qu-jie-he-bing-fang-zhi-suo 宝坻区结核病防治所
bao-di-wo 宝迪沃
bao-di-yi-yuan 宝坻医院
bao-di-zhong-yi-yuan 宝坻中医院
bao-ding-bai-dian-feng-yi-yuan 保定白癜风医院
bao-ding-di-qi-yi-yuan 保定第七医院
bao-ding-mai-guan-yan-yi-yuan 保定脉管炎医院
bao-ding-pi-fu-bing-yi-yuan 保定皮肤病医院
bao-ding-shi-di-er-zhong-xin-yi-yuan 保定市第二中心医院
bao-ding-shi-jia-kang-zhong-yi-zhen-suo 保定市佳康中医诊所
bao-ding-shi-kou-qiang-ji-bing-fang-zhi-suo 保定市口腔疾病防治所
bao-ding-shi-nao-xue-guan-bing-yi-yuan 保定市脑血管病医院
bao-ding-shi-zhong-xi-yi-jie-he-yi-yuan 保定市中西医结合医院
bao-ding-shi-zhong-yi-yuan-fen-yuan 保定市中医院分院
bao-ding-tie-lu-yi-yuan 保定铁路医院
bao-ding-wei-sheng-yuan 保定卫生院
bao-ding-xin-shi-yan-ke-yi-yuan 保定新视眼科医院
bao-ding-xing-hua-yi-yuan 保定兴华医院
bao-ding-zhen-ai-fu-ke-yi-yuan 保定真爱妇科医院
bao-ding-zhong-sheng-tang-yi-yuan 保定中圣堂医院
bao-fa-yi-yuan 保法医院
bao-feng-ren-min-yi-yuan 宝丰人民医院
bao-feng-zhong-yi-yuan 宝丰中医院
bao-gang-san-yi-yuan 包钢三医院
bao-gang-yi-yuan 包钢医院
bao-guang-yi-yuan 宝光医院
bao-he-yi-yuan 保和医院
bao-ji-ben-cao-zhong-yi-yi-yuan 宝鸡本草中医医院
bao-ji-cai-jia-po-zhong-xi-yi-yuan 宝鸡蔡家坡中西医院
bao-ji-hua-shan-yi-yuan 宝鸡华山医院
bao-ji-jin-tai-zhong-yi-xin-liao-fa-men-zhen 宝鸡金台中医新疗法门诊
bao-ji-shi-chang-shou-yi-yuan 宝鸡市长寿医院
bao-ji-shi-chen-cang-yi-yuan 宝鸡市陈仓医院
