;; -*- coding: utf-8 -*--
a-bei-er-bian-huan 阿贝尔变换
an-xing-an-lie-zhan-kai 按行按列展开
an-xing-fen-jie-xian-huan 鞍形分界线环
an-xing-lian-jie 鞍形连接
ao-duo-bian-xing 凹多边形
ao-duo-mian-ti 凹多面体
ao-en-si-tan 奥恩斯坦
ao-er-li-qi-kong-jian 奥尔利奇空间
ao-gui-hua 凹规划
ao-han-shu 凹函数
ao-jiao 凹角
ao-qu-xian 凹曲线
ao-suan-zi 凹算子
ao-tu-dui-ce 凹凸对策
ao-xing 凹性
ba-bi-lun-shu-zi 巴比伦数字
ba-bian-xing 八边形
ba-ha-du-er-jian-jin-xiao-lv 巴哈杜尔渐近效率
ba-ha-du-er-xiao-lv 巴哈杜尔效率
ba-jiao-xing 八角形
ba-jin-ji-shu-fa 八进记数法
ba-jin-zhi-xi 八进制系
ba-ke-si-ji-hao 巴科斯记号
ba-ke-si-te-fang-cheng 巴克斯特方程
ba-mian-ti 八面体
ba-mian-ti-qun 八面体群
ba-mian-ti-xing-shi 八面体形式
ba-na-he 巴拿赫
ba-na-he-dai-shu 巴拿赫代数
ba-na-he-ge 巴拿赫格
ba-na-he-kong-jian 巴拿赫空间
ba-na-he-li-qun 巴拿赫李群
ba-na-he-liu-xing 巴拿赫流形
ba-shi-fu-si 巴什福思
ba-suo-di 巴索蒂
ba-ta-qia-li-ya-xia-jie 巴塔恰里亚下界
bai-er-gen 白尔根
bai-fen-du 百分度
bai-fen-fa 百分法
bai-fen-lv 百分率
bai-fen-shu 百分数
bai-fen-wei-shu 百分位数
bai-fen-wu-cha 百分误差
bai-mi 百米
bai-sheng 百升
bai-te-long-qu-xian 柏特龙曲线
bai-wan 百万
bai-xian 摆线
bai-zao-sheng 白噪声
ban-ben-yuan-huan 半本原环
ban-bi-qu-jian 半闭区间
ban-bian-gong-shi 半边公式
ban-bu-bian-liang 半不变量
ban-bu-bian-shi 半不变式
ban-bu-bian-wai-wei-fen 半不变外微分
ban-can-shu-mo-xing 半参数模型
ban-chang-zhou 半长轴
ban-chun-liang-ji 半纯量积
ban-dan 半单
ban-dan-biao-shi 半单表示
ban-dan-chun-fu-xing 半单纯复形
ban-dan-chun-ying-she 半单纯映射
ban-dan-cu 半单簇
ban-dan-dai-shu 半单代数
ban-dan-dai-shu-qun 半单代数群
ban-dan-fan-dai-shu 半单泛代数
ban-dan-huan 半单环
ban-dan-li-dai-shu 半单李代数
ban-dan-li-qun 半单李群
ban-dan-mo 半单模
ban-dan-qun 半单群
ban-dan-ruo-er-dang-dai-shu 半单若尔当代数
ban-dan-xian-xing-bian-huan 半单线性变换
ban-dan-yuan 半单元
ban-dan-zhi 半单秩
ban-die-dai-fa 半迭代法
ban-ding-bian-fen-wen-ti 半定变分问题
ban-ding-er-ci-xing-shi 半定二次形式
ban-ding-he 半定核
ban-ding-ju-zhen 半定矩阵
ban-ding-suan-zi 半定算子
ban-du-liang 半度量
ban-duan-zhou 半短轴
ban-dui-chen 半对称
ban-dui-shu-biao-shi 半对数表示
ban-dui-shu-tu 半对数图
ban-fan-shu 半范数
ban-fu-ding-er-ci-xing-shi 半负定二次形式
ban-fu-ding-xing 半负定型
ban-fu-lei-de-huo-mu-suan-zi 半弗雷德霍姆算子
ban-ge 半格
ban-guan-zhou 半贯轴
ban-huan 半环
ban-huan-fang 半幻方
ban-ji-ji 半极集
ban-jia-xing-fan-chou 半加性范畴
ban-jiao 半角
ban-jiao-gong-shi 半角公式
ban-jie-xi-ji-he 半解析集合
ban-jing 半径
ban-ju-bu-dan-lian-tong 半局部单连通
ban-ju-bu-huan 半局部环
ban-kai-ban-bi-qu-jian 半开半闭区间
ban-kong-jian 半空间
ban-leng-zhui-ti 半棱锥体
ban-li-san-fa 半离散法
ban-li-san-hua 半离散化
ban-lian-xu 半连续
ban-lian-xu-dian 半连续点
ban-lian-xu-han-shu 半连续函数
ban-lian-xu-tong 半连续统
ban-lian-xu-xing 半连续性
ban-liang-xu-ji 半良序集
ban-lin-yu 半邻域
ban-liu 半流
ban-mo-ge 半模格
ban-mo-xing 半模性
ban-nei-ji 半内积
ban-ping-mian 半平面
ban-qiang-han-shu 半强函数
ban-qie-xian 半切线
ban-qiu 半球
ban-qiu-mian 半球面
ban-qiu-xing 半球形
ban-qun 半群
ban-qun-dai-shu 半群代数
ban-qun-huan 半群环
ban-qun-rao-dong 半群扰动
ban-ruo-han-shu 半弱函数
ban-san-ci-pao-wu-xian 半三次抛物线
ban-shou-lian-ji-shu 半收敛级数
ban-shuang-xian-xing-fan-han 半双线性泛函
ban-shuang-xian-xing-xing 半双线性型
ban-shuang-xian-xing-xing-shi 半双线性形式
ban-si-yuan-shu 半四元数
ban-su-huan 半素环
ban-su-li-xiang 半素理想
ban-sui 伴随
ban-sui-bian-zhi-wen-ti 伴随边值问题
ban-sui-biao-shi 伴随表示
ban-sui-cha-fen-fang-cheng 伴随差分方程
ban-sui-guo-cheng 伴随过程
ban-sui-han-shu 伴随函数
ban-sui-han-zi 伴随函子
ban-sui-hang-lie-shi 伴随行列式
ban-sui-he 伴随核
ban-sui-ji-fen-fang-cheng 伴随积分方程
ban-sui-ju-zhen 伴随矩阵
ban-sui-kong-jian 伴随空间
ban-sui-li-dai-shu 伴随李代数
ban-sui-meng-te-ka-luo-fang-fa 伴随蒙特卡罗方法
ban-sui-qu-mian 伴随曲面
ban-sui-qun 伴随群
ban-sui-suan-zi 伴随算子
ban-sui-tong-ji-gu-ji-fang-fa 伴随统计估计方法
ban-sui-wei-fen-fang-cheng 伴随微分方程
ban-sui-wei-fen-shi 伴随微分式
ban-sui-wei-fen-suan-zi 伴随微分算子
ban-sui-xi 伴随系
ban-sui-xi-er-bo-te-wen-ti 伴随希耳伯特问题
ban-sui-xian-xing-ying-she 伴随线性映射
ban-sui-xiang-liang 伴随向量
ban-sui-xing-shi 伴随形式
ban-sui-ying-she 伴随映射
ban-sui-zhen 伴随阵
ban-sui-zhi-shu-bian-huan-fang-fa 伴随指数变换方法
ban-tong-lu 半通路
ban-wan-man-huan 半完满环
ban-wen-ding-ji-xian-huan 半稳定极限环
ban-wu-xian-ping-mian 半无限平面
ban-xian-xing-bian-huan 半线性变换
ban-xian-xing-dai-huan 半线性代换
ban-xian-xing-pian-wei-fen-fang-cheng 半线性偏微分方程
ban-xian-xing-tong-gou 半线性同构
ban-xian-xing-ying-she 半线性映射
ban-xu-ji 半序集
ban-xu-kong-jian 半序空间
ban-yang 半鞅
ban-yang-ben 半样本
ban-yi-chuan-huan 半遗传环
ban-yi-zhi-kong-jian 半一致空间
ban-yin-ge-shi 半隐格式
ban-you-jie-suan-zi 半有界算子
ban-you-xian-ji 半有限迹
ban-you-xu 半有序
ban-you-xu-ba-na-he-kong-jian 半有序巴拿赫空间
ban-you-xu-ji 半有序集
ban-yu 半域
ban-yuan 半圆
ban-yuan-yu 半圆域
ban-zheng-ding-xing 半正定型
ban-zheng-gui-suan-zi 半正规算子
ban-zheng-shi 半正矢
ban-zheng-shu-quan-mo-xing-shi 半整数权模形式
ban-zheng-ze-dian 半正则点
ban-zheng-ze-kong-jian 半正则空间
ban-zheng-ze-tuo-pu 半正则拓扑
ban-zhi-ji 半直积
ban-zhi-xian 半直线
ban-zhong-zhou 半中轴
ban-zhou 半轴
ban-zhou-qi 半周期
ban-zhun-su-huan 半准素环
ban-zi-fan-ju-bu-tu-kong-jian 半自反局部凸空间
ban-zi-fan-kong-jian 半自反空间
ban-zi-fan-xing 半自反性
bang-gou-cheng 棒构成
bang-xi 傍系
bang-xian 蚌线
bao-bing-tong-tai 保并同态
bao-ce-bian-huan 保测变换
bao-chi-ding-xiang-tong-gou 保持定向同构
bao-chi-ding-xiang-zi-tong-gou 保持定向自同构
bao-chou-han-shu 报酬函数
bao-cun 保存
bao-dan-tiao-cha-fen-ge-shi 保单调差分格式
bao-er-shuang-die-dai 鲍尔双迭代
bao-er-shuang-die-dai-fa 鲍尔双迭代法
bao-fan-ying-she 保范映射
bao-gao-bao-biao 报告报表
bao-guan-fei 保管费
bao-han 包含
bao-han-guan-xi 包含关系
bao-han-han-zi 包含函子
bao-han-ying-she 包含映射
bao-han-yu-pai-chi-yuan-li 包含与排斥原理
bao-he-ding-dian 饱和顶点
bao-he-lei 饱和类
bao-he-mo-xing 饱和模型
bao-he-qu-xian 饱和曲线
bao-he-shou-suo 保核收缩
bao-he-tuo-pu 包核拓扑
bao-ji-han-zi 保积函子
bao-jiao-su-shi 保角素示
bao-jiao-tong-tai-xiang 保交同态像
bao-jiao-ying-she 保角映射
bao-jiao-ying-xiang 保角映象
bao-ju-tong-gou 保距同构
bao-ju-ying-she 保距映射
bao-lu-dian 暴露点
bao-lu-fang-xiang 暴露方向
bao-lu-mian 暴露面
bao-lu-she-xian 暴露射线
bao-luo-dai-shu 包络代数
bao-luo-huan 包络环
bao-luo-mian 包络面
bao-luo-xian 包络线
bao-mi-liang 保密量
bao-mi-ti-zhi 保密体制
bao-mi-xue 保密学
bao-mian-ji-ying-she 保面积映射
bao-qiang 胞腔
bao-qiang-bi-jin 胞腔逼近
bao-qiang-fu-xing 胞腔复形
bao-qiang-kong-jian 胞腔空间
bao-qiang-pou-fen 胞腔剖分
bao-qiang-shang-tong-dao 胞腔上同岛
bao-qiang-shang-tong-diao 胞腔上同调
bao-qiang-shang-tong-tiao-qun 胞腔上同调群
bao-qiang-shi-tong-lun 胞腔式同伦
bao-qiang-tong-diao-qun 胞腔同调群
bao-qiang-tong-lun 胞腔同伦
bao-qiang-ying-she 胞腔映射
bao-qiang-zi-fu-xing 胞腔子复形
bao-shou-li 保守力
bao-shou-li-chang 保守力场
bao-shou-suan-zi 保守算子
bao-wei-er-fa 鲍威尔法
bao-xian 保险
bao-xian-shu-xue 保险数学
bao-xian-yan-suan 保险演算
bao-xian-ying-she 保纤映射
bao-xiang-ying-she 保向映射
bao-xing-ce-di-xian 保形测地线
bao-xing-ji-he 保形几何
bao-xing-lian-tong-liao 保形连通廖
bao-xing-qu-lv-zhang-liang 保形曲率张量
bao-xing-she-ying 保形射影
bao-xing-wei-fen-ji-he-xue 保形微分几何学
bao-xing-ying-she 保形映射
bao-xu-bian-huan 保序变换
bao-xu-dan-she-ying-she 保序单射映射
bao-xu-dui-ying 保序对应
bao-xu-fu-zhi 保序赋值
bao-xu-guan-xi 保序关系
bao-xu-han-shu 保序函数
bao-xu-tong-gou 保序同构
bao-xu-xing 保序性
bao-xu-ying-she 保序映射
bao-zha-shi 爆炸时
bao-zhui-suan-zi 保锥算子
bei-bi-jin-han-shu 被逼近函数
bei-cheng-shu 被乘数
bei-chu-shu 被除数
bei-di-qun 贝蒂群
bei-di-shu 贝蒂数
bei-ding-yi-zhe 被定义者
bei-er-han-shu 贝尔函数
bei-er-kong-jian 贝尔空间
bei-er-man-fang-cheng 贝尔曼方程
bei-er-man-yuan-li 贝尔曼原理
bei-er-si-kong-jian 贝尔斯空间
bei-er-si-tuo-die-dai-fa 贝尔斯托迭代法
bei-er-te-la-mi-fang-cheng 贝尔特拉米方程
bei-fa-bian-huan 倍法变换
bei-ji-han-shu 被积函数
bei-jia-shu 被加数
bei-jian-shu 被减数
bei-jiao-gong-shi 倍角公式
bei-kai-fang-shu 被开方数
bei-ke 贝克
bei-ke-long-bian-huan 贝克隆变换
bei-li-ce-du 贝利测度
bei-li-ding-li 贝利定理
bei-li-fang 倍立方
bei-li-han-shu 贝利函数
bei-li-ji 贝利集
bei-li-kong-jian 贝利空间
bei-lun 悖论
bei-sai-er-bian-huan 贝塞尔变换
bei-sai-er-bu-deng-shi 贝塞耳不等式
bei-sai-er-bu-deng-shi 贝塞尔不等式
bei-sai-er-fang-cheng 贝塞耳方程
bei-sai-er-han-shu 贝塞耳函数
bei-sai-er-ji-fen 贝塞耳积分
bei-sai-er-ji-fen 贝塞尔积分
bei-sai-er-ji-shu 贝塞尔级数
bei-sai-er-wei-fen-fang-cheng 贝塞尔微分方程
bei-shi 倍式
bei-shu 倍数
bei-ta-fen-bu 贝塔分布
bei-tu 倍图
bei-wu-jiao-gui-ze 北午角规则
bei-ye-si-fen-lei-gui-ze 贝叶斯分类规则
bei-ye-si-feng-xian 贝叶斯风险
bei-ye-si-gong-she 贝叶斯公设
bei-ye-si-gong-shi 贝叶斯公式
bei-ye-si-gu-ji 贝叶斯估计
bei-ye-si-jie 贝叶斯解
bei-ye-si-jue-ce-han-shu 贝叶斯决策函数
bei-ye-si-pan-ding-han-shu 贝叶斯判定函数
bei-ye-si-qu-jian-gu-ji 贝叶斯区间估计
bei-ye-si-tong-ji 贝叶斯统计
bei-ze-jia-she 备择假设
ben-di-ke-song-ding-li 本迪克松定理
ben-xing-qi-dian 本性奇点
ben-xing-qi-he 本性奇核
ben-xing-shang-que-jie 本性上确界
ben-xing-xia-que-jie 本性下确界
ben-yuan 本元
ben-yuan-duo-xiang-shi 本原多项式
ben-yuan-fang-cheng 本原方程
ben-yuan-huan 本原环
ben-yuan-li-xiang 本原理想
ben-yuan-mi-deng-yuan 本原幂等元
ben-yuan-qun 本原群
ben-yuan-yuan 本原元
ben-yuan-yuan-su 本原元素
ben-zhai-shu-zhan-kai 本寨数展开
ben-zhao-jian 本照间
ben-zhao-kong-jian 本沼空间
ben-zheng-kong-jian 本征空间
ben-zheng-xiang-liang 本征向量
ben-zheng-xiang-liang-zhan-kai-shi 本征向量展开式
ben-zheng-zhi 本征值
ben-zheng-zhi-fang-cheng 本征值方程
ben-zheng-zhi-wen-ti 本征值问题
ben-zhi-bian-jie-tiao-jian 本质边界条件
ben-zhi-bu-ke-pan-ding-xing 本质不可判定性
ben-zhi-bu-zhen-dang 本质不振荡
ben-zhi-can-shu 本质参数
ben-zhi-ce-lue 本质策略
ben-zhi-dan-tong-tai 本质单同态
ben-zhi-dian 本质点
ben-zhi-dui-ce 本质对策
ben-zhi-kai-tuo 本质开拓
ben-zhi-man-she 本质满射
ben-zhi-pu 本质谱
ben-zhi-qi-dian 本质奇点
ben-zhi-shang-que-jie 本质上确界
ben-zhi-shou-lian 本质收敛
ben-zhi-shou-lian-xu-lie 本质收敛序列
ben-zhi-tong-tai 本质同态
ben-zhi-wan-quan-lei 本质完全类
ben-zhi-yan-ge-tu 本质严格凸
ben-zhi-you-jie 本质有界
ben-zhi-zi-ban-suan-zi 本质自伴算子
beng-kui-dian 崩溃点
bi-ban-kong-jian 闭半空间
bi-ban-ping-mian 闭半平面
bi-bao 闭包
bi-bao-suan-zi 闭包算子
bi-bao-xing-zhi 闭包性质
bi-bao-you-xian 闭包有限
bi-bao-yun-suan 闭包运算
bi-bo-ba-he-cai-xiang 比伯巴赫猜想
bi-ce-di-xian 闭测地线
bi-cha-jie 比察捷
bi-da-ge-la-si-ding-li 毕达哥拉斯定理
bi-da-ge-la-si-shu 毕达哥拉斯数
bi-da-ge-la-si-yu 毕达哥拉斯域
bi-dan-xing 闭单形
bi-de-luo-fu-fa 彼得罗夫法
bi-de-song-nei-ji 彼得松内积
bi-de-song-tu 彼得松图
bi-deng-jia-guan-xi 闭等价关系
bi-dui-chen-kuo-zhang 闭对称扩张
bi-fu-gai 闭覆盖
bi-fu-xing 闭复形
bi-gong-shi 闭公式
bi-gu-ji 比估计
bi-gu-ji-liang 比估计量
bi-gui-dao 闭轨道
bi-he 闭核
bi-he-dian-lu 闭合电路
bi-huan-xi-tong 闭环系统
bi-ji 闭迹
bi-ji 闭集
bi-ji-ji 闭集基
bi-jiao 比较
bi-jiao-ding-li 比较定理
bi-jiao-fa 比较法
bi-jiao-han-shu 比较函数
bi-jiao-jian-yan 比较检验
bi-jiao-yong-ji-shu 比较用级数
bi-jiao-yuan-li 比较原理
bi-jin 逼近
bi-jin-ding-li 逼近定理
bi-jin-han-shu 逼近函数
bi-jin-jie 逼近阶
bi-jin-li-lun 逼近理论
bi-jin-lun 逼近论
bi-jin-ru 闭浸入
bi-jin-shi 逼近式
bi-jin-wu-cha 逼近误差
bi-jin-zheng-ze-ying-she 逼近正则映射
bi-kai-ji 闭开集
bi-kuo-zhang 闭扩张
bi-li 比例
bi-li-bu-fen 比例部分
bi-li-chang-shu 比例常数
bi-li-chi 比例尺
bi-li-chou-yang 比例抽样
bi-li-di-san-xiang 比例第三项
bi-li-ding-li 比例定理
bi-li-fen-liang 比例分量
bi-li-gui 比例规
bi-li-ji-xian 比例极限
bi-li-kong-zhi 比例控制
bi-li-liang 比例量
bi-li-lun 比例论
bi-li-man-mian 闭黎曼面
bi-li-nei-xiang 比例内项
bi-li-pei-zhi 比例配置
bi-li-wai-xiang 比例外项
bi-li-xi-shu 比例系数
bi-li-xian-duan 比例线段
bi-li-zhong-xiang 比例中项
bi-lian 闭链
bi-lin-yu 闭邻域
bi-liu-xing 闭流形
bi-lu 闭路
bi-lu-kong-jian 闭路空间
bi-lv-bian-li-ding-li 比率遍历定理
bi-lv-zi 闭滤子
bi-mu 比姆
bi-nei-gong-shi 比内公式
bi-qiao-ceng 闭壳层
bi-qiu 闭球
bi-qu-jian 闭区间
bi-qu-mian 闭曲面
bi-qu-xian 闭曲线
bi-quan-xi 闭圈系
bi-qun 闭群
bi-ran 必然
bi-ran-shi-jian 必然事件
bi-ran-xing 必然性
bi-re 比热
bi-shi-shu-ping-mian 闭实数平面
bi-shi-xin-qiu 闭实心球
bi-suan-zi 闭算子
bi-te 比特
bi-tu 闭图
bi-tu-bao 闭凸包
bi-tu-ding-li 闭图定理
bi-tu-han-shu 闭凸函数
bi-tu-xiang-ding-li 闭图象定理
bi-wei-fen 闭微分
bi-xi-tong 闭系统
bi-xian-xing-liao 闭线性廖
bi-xian-xing-suan-zi 闭线性算子
bi-xiang 闭项
bi-xing 闭型
bi-xing-ji-fen-gong-shi 闭型积分公式
bi-xing-xing 闭星形
bi-xing-zi-cheng-xu 闭型子程序
bi-yao 必要
bi-yao-bu-chong-fen-tiao-jian 必要不充分条件
bi-yao-chong-fen-tong-ji-liang 必要充分统计量
bi-yao-tiao-jian 必要条件
bi-ying-she 闭映射
bi-yu 闭域
bi-yuan-pan 闭圆盘
bi-zhi-yu-ding-li 闭值域定理
bi-zi-gai-xing 闭子概形
bi-zi-li-qun 闭子李群
bi-zi-liu-xing 闭子流形
bi-zi-qun 闭子群
bian-bian-bian-ding-li 边边边定理
bian-bie 辨别
bian-bu-chang 变步长
bian-can-shu-yuan-jian 变参数元件
bian-cha 变差
bian-cha-fan-wei 变差范围
bian-cha-xi-shu 变差系数
bian-chang-ma 变长码
bian-chuan-di-tu 边传递图
bian-du-li-shu 边独立数
bian-du-liang-fa 变度量法
bian-dui-chen 边对称
bian-fen 变分
bian-fen-bu-deng-fang-cheng 变分不等方程
bian-fen-bu-deng-shi 变分不等式
bian-fen-dao-shu 变分导数
bian-fen-fa 变分法
bian-fen-fang-cheng 变分方程
bian-fen-fang-cheng-zu 变分方程组
bian-fen-fang-fa 变分方法
bian-fen-wen-ti 变分问题
bian-fen-xue 变分学
bian-fen-yuan-li 变分原理
bian-feng 扁峰
bian-fu-gai 边覆盖
bian-fu-gai-shu 边覆盖数
bian-ge-ji 边割集
bian-han-shu 变函数
bian-hua 变化
bian-hua-xing 变化性
bian-huan 变换
bian-huan-fang-cheng 变换方程
bian-huan-gui-ze 变换规则
bian-huan-han-shu 变换函数
bian-huan-ju-zhen 变换矩阵
bian-huan-lun 变换论
bian-huan-qun 变换群
bian-huan-yin-zi 变换因子
bian-ji 边集
bian-jiao-bian-gong-li 边角边公理
bian-jie 边界
bian-jie-bao-qiang 边界胞腔
bian-jie-biao-xian 边界表现
bian-jie-ceng 边界层
bian-jie-dai 边界带
bian-jie-dan-xing 边界单形
bian-jie-dian 边界点
bian-jie-dui-ying 边界对应
bian-jie-fa 边界法
bian-jie-ge-dian 边界格点
bian-jie-gu-ji 边界估计
bian-jie-ji-fen-fa 边界积分法
bian-jie-jie-dian 边界结点
bian-jie-kong-zhi 边界控制
bian-jie-liao 边界廖
bian-jie-mo 边界模
bian-jie-pei-zhi 边界配置
bian-jie-qu-jian 边界区间
bian-jie-qu-mian 边界曲面
bian-jie-qu-xian 边界曲线
bian-jie-tiao-jian 边界条件
bian-jie-tiao-jian-zhuan-yi 边界条件转移
bian-jie-xing-ji-fen-gong-shi 边界型积分公式
bian-jie-yuan 边界元
bian-jie-yuan-fa 边界元法
bian-jie-zhi 边界值
bian-li-bian-huan 遍历变换
bian-li-ding-li 遍历定理
bian-li-guo-cheng 遍历过程
bian-li-jia-shuo 遍历假说
bian-li-li-lun 遍历理论
bian-li-lian 遍历链
bian-li-ma-er-ke-fu-lian 遍历马尔可夫链
bian-li-tai 遍历态
bian-li-xin-yuan 遍历信源
bian-li-xing 遍历性
bian-li-xing-jia-she 遍历性假设
bian-lian-tong-du 边连通度
bian-liang 变量
bian-liang-bian-huan 变量变换
bian-liang-fan-wei 变量范围
bian-liang-fen-li-fang-cheng 变量分离方程
bian-liang-shu-lie 变量数列
bian-ma 编码
bian-ma-ding-li 编码定理
bian-ma-li-lun 编码理论
bian-ma-qi 编码器
bian-ma-zeng-yi 编码增益
bian-qi 编器
bian-qun 辫群
bian-se-shu 边色数
bian-shi 辨识
bian-shu 变数
bian-shu-han-shu-fu-hao 变数函数符号
bian-tiao-jian 边条件
bian-tu 边图
bian-tuo-mian 扁椭面
bian-xin-ju 边心距
bian-xin-xi 边信息
bian-xing 变形
bian-xing-ma-di-e-fang-cheng 变形马蒂厄方程
bian-xing-ma-di-e-han-shu 变形马蒂厄函数
bian-xing-niu-dun-fa 变形牛顿法
bian-xing-ou-la-fa 变形欧拉法
bian-xing-tuo-yuan 变形椭圆
bian-yi-cheng-xu 编译程序
