;; -*- coding: utf-8 -*--
a-di-ma 阿蒂玛
bi-ya-di 比亚迪
bian-guang-kai-guan 变光开关
bian-ju-qi 变矩器
bian-niu-qi 变扭器
bian-niu-qi-qie-ge-she-bei 变扭器切割设备
bian-niu-qi-wei-xiu-she-bei 变扭器维修设备
bian-su-qi 变速器
bian-su-qi-jie-gou-yuan-li 变速器结构原理
bian-su-qi-ke 变速器壳
bian-su-qi-qian-ke-chen-dian 变速器前壳衬垫
bian-su-qi-xuan-gua-zong-cheng 变速器悬挂总成
bian-su-qi-zhi-jia 变速器支架
bian-su-qi-zhong-ke 变速器中壳
bian-su-qi-zong-cheng 变速器总成
bian-su-xiang 变速箱
bian-su-xiang-jin-gu-jian 变速箱紧固件
bian-su-xiang-qiao-ti 变速箱壳体
bian-su-xiang-you-beng 变速箱油泵
bian-su-xiang-you-di-ke 变速箱油底壳
bian-su-xiang-you-lv 变速箱油滤
bian-su-xiang-you-wen-chuan-gan-qi 变速箱油温传感器
bian-su-xiang-zhi-cheng 变速箱支撑
biao-di-che 标的车
biao-ma-ai-shi-cheng-zhen 彪马爱仕城镇
bie-ke 别克
bie-ke-ying-lang 别克英朗
bin-li 宾利
bo-cha-zhou-zhi-jia 拨叉轴支架
bo-li-dao-cao 玻璃导槽
bo-li-jia-re 玻璃加热
bo-li-qing-xi-ye 玻璃清洗液
bo-li-sheng-jiang-qi 玻璃升降器
bo-li-sheng-jiang-qi-kai-guan 玻璃升降器开关
bo-li-shui 玻璃水
bo-rui 铂锐
bo-si-dian-pian 波司垫片
bo-xiang 波箱
bu-chang-rong-qi 补偿容器
bu-jia-di 布加迪
bu-tai-zhen 补胎针
ca-bu-ji-pi 擦布麂皮
ce-deng-zhao 侧灯罩
ce-deng-zong-cheng 侧灯总成
ce-hua-shi-yan-tai 侧滑试验台
cha-dong-zhui-chi-lun-zhou 差动锥齿轮轴
cha-fen-dang-qi-gang-zhi-dian 插分档汽缸纸垫
cha-jian-qi-zong-cheng 差减器总成
cha-su 差速
cha-su-qi 差速器
cha-su-qi-ke 差速器壳
cha-su-qi-qiao-ti 差速器壳体
cha-su-qi-shi-zi-zhou 差速器十字轴
cha-su-qi-xing-xing-chi-lun 差速器行星齿轮
cha-su-qi-you-feng 差速器油封
cha-su-qi-zong-cheng 差速器总成
chai-huan-fa-dong-ji-zong-cheng 拆换发动机总成
chai-you-che-hou-qiao-zong-cheng 柴油车后桥总成
chai-you-chuan-gan-qi 柴油传感器
chai-you-cu-lv-xin 柴油粗滤芯
chai-you-fa-dong-ji 柴油发动机
chai-you-guan 柴油管
chai-you-lv-qing-qi 柴油滤清器
chai-you-pi-ka 柴油皮卡
chai-you-ruan-guan 柴油软管
chai-you-xi-lv-xin 柴油细滤芯
chai-you-xiang-gai 柴油箱盖
chai-you-xiang-zong-cheng 柴油箱总成
chai-zhuang-fei-lun 拆装飞轮
chai-zhuang-jin-qi-qi-guan 拆装进气歧管
chai-zhuang-pai-qi-qi-qi-guan 拆装排气气歧管
chai-zhuang-qi-men 拆装气门
chang-an-fu-te 长安福特
chang-an-ji-tuan 长安集团
chang-an-ling-mu 长安铃木
chang-an-ma-zi-da 长安马自达
chang-an-wo-er-wo 长安沃尔沃
chang-an-yue-xiang 长安悦翔
chang-cheng-qi-che 长城汽车
chang-feng 长丰
chang-feng-lie-bao 长丰猎豹
chang-feng-qi-che 长丰汽车
chang-feng-san-ling 长丰三菱
chang-feng-yang-zi 长丰扬子
chang-he 昌河
chang-he-hai-tun 昌河海豚
chang-he-ji-tuan 昌河集团
chang-he-jun-ma 昌河骏马
chang-he-ling-mu 昌河铃木
chang-he-qi-che 昌河汽车
chang-kai-shi-tong-qi-fa 常开式通气阀
chang-peng-ban 敞篷版
chao-ya-tiao-jie-fa 超压调节阀
che-ding 车顶
che-ding-ban 车顶板
che-ding-ge-re-zhan 车顶隔热毡
che-ding-heng-liang 车顶横梁
che-ding-zong-liang 车顶纵梁
che-gao 车高
che-jia 车架
che-jia-zong-cheng 车架总成
che-kuan 车宽
che-la 车蜡
che-liang 车辆
che-liang-dui-bi 车辆对比
che-lun 车轮
che-lun-dong-ping-heng-ji 车轮动平衡机
che-lun-lun-gu 车轮轮毂
che-lun-shi-gai 车轮饰盖
che-lun-zhou-cheng-tao 车轮轴承套
che-men 车门
che-men-bo-li 车门玻璃
che-men-jiao-lian 车门铰链
che-men-la-shou 车门拉手
che-men-shi-ban 车门饰板
che-men-suo-zong-cheng 车门锁总成
che-men-zhe-ye 车门折页
che-nei-di-tan 车内地毯
che-nei-hou-shi-jing 车内后视镜
che-nei-wen-du-chuan-gan-qi 车内温度传感器
che-pai 车牌
che-pai-jia 车牌架
che-shen 车身
che-shen-ban-jin-jian 车身钣金件
che-shen-cai-tiao 车身彩条
che-shen-fu-jian 车身附件
che-shen-jian 车身件
che-shen-jiao-zheng-she-bei 车身校正设备
che-shen-qing-xi-she-bei 车身清洗设备
che-shen-wei-ban 车身尾板
che-shen-zheng-xing-she-bei 车身整形设备
che-shen-zhu-dong-kong-zhi-xi-tong 车身主动控制系统
che-su-biao-jian-yan-tai 车速表检验台
che-su-chuan-gan-qi 车速传感器
che-su-yi 车速仪
che-ti-hu-ban 车体护板
che-ti-hu-ban-zhuang-shi-jian 车体护板装饰件
che-ti-zuo-hu-ban 车体左护板
che-wai-wen-du-chuan-gan-qi 车外温度传感器
che-xing 车型
che-yong-xi-chen-qi 车用吸尘器
che-you-hui 车友会
che-you-lun-tan 车友论坛
che-zai-bing-xiang 车载冰箱
che-zai-dian-hua 车载电话
che-zai-dian-nao 车载电脑
che-zai-dian-shi 车载电视
che-zai-dui-jiang-ji 车载对讲机
che-zai-mian-ti 车载免提
che-zai-xian-shi-qi 车载显示器
che-zai-yang-ba 车载氧吧
che-zai-ying-die-ji 车载影碟机
che-zai-zi-dong-zhen-duan-xi-tong 车载自动诊断系统
che-zai-zi-jian 车载自检
che-zhang 车长
che-zhu 车柱
chen-guang-zu 陈光祖
chen-tou-luo-shuan 沉头螺栓
cheng-du-che-mi 成都车迷
cheng-yuan-tou-jing-bao-hu-xi-tong 乘员头颈保护系统
chi-lun-nie-he-xing-shi 齿轮啮合型式
chi-lun-shi-gai 齿轮室盖
chi-lun-you 齿轮油
chi-peng 驰鹏
chi-xing-pi-dai 齿形皮带
chi-xing-pi-dai-hu-zhao 齿形皮带护罩
chi-xing-pi-dai-lun 齿形皮带轮
chi-xing-pi-dai-xia-hu-gai 齿形皮带下护盖
chi-ye 驰野
chong-han-qiao 冲焊桥
chong-qing-wu-shi-ling 重庆五十铃
chu-chen-chu-gou-she-bei 除尘除垢设备
chu-shuang-qi 除霜器
chu-ye-guan 储液罐
chu-you-guan-zong-cheng 出油管总成
chu-zu-che 出租车
chu-zu-qi-che 出租汽车
chuan-dong-xi-tong 传动系统
chuan-dong-zhao 传动罩
chuan-dong-zhou-diao-jia-jiao-kuai 传动轴吊架胶块
chuan-dong-zhou-diao-jia-zong-cheng 传动轴吊架总成
chuan-dong-zhou-lian-jie-pan 传动轴联接盘
chuan-dong-zhou-luo-si 传动轴罗丝
chuan-dong-zhou-suo-pian 传动轴锁片
chuan-dong-zhou-tao-guan-cha 传动轴套管叉
chuan-dong-zhou-tu-yuan 传动轴凸缘
chuan-dong-zhou-tu-yuan-luo-mu 传动轴凸缘螺母
chuan-dong-zhou-wan-xiang-jie 传动轴万向节
chuan-dong-zhou-zong-cheng 传动轴总成
chuan-gan-qi-ding-xiao 传感器顶销
chuan-gan-qi-qu-dong-huan 传感器驱动环
chuan-gan-zhu-li-qi 传感助力器
chuan-lian-shi-zhi-dong-zong-beng 串联式制动总泵
chuan-ya-gang 传压缸
chuang-dang 闯档
ci-wang-dan-su 磁王单速
ci-wang-shuang-dong-li 磁王双动力
ci-xing-fang-you-luo-shuan 磁性放油螺栓
cong-dong-pian 从动片
da-ba-wang 大霸王
da-bao-wei 大包围
da-chai-shen 大柴神
da-deng 大灯
da-deng-kai-guan 大灯开关
da-deng-tiao-jie-dian-ji 大灯调节电机
da-deng-xian-shu 大灯线束
da-deng-zu-he-kai-guan 大灯组合开关
da-di 大迪
da-di-qi-che 大迪汽车
da-fa 大发
da-hou-jue 大侯爵
da-jia 大架
da-jiao-shou 大脚兽
da-jie-long 大捷龙
da-la-ji 打蜡机
da-lu 达路
da-mo-pao-guang-she-bei 打磨抛光设备
da-qi-beng 打气泵
da-tie-xian 搭铁线
da-ya-pan 大牙盘
da-yu 大宇
dai-pen-zui-de-you-beng 带喷嘴的油泵
dan-dong-li 单动力
dan-gang-qi-beng-fa-pian 单缸气泵阀片
dang-feng-ban 挡风板
dang-feng-bo-li 挡风玻璃
dang-feng-gong-ju-xiang-gai 挡风工具箱盖
dang-ni-ban 挡泥板
dang-you-ban 挡油板
dao-cai-lun 刀彩轮
dao-che 倒车
dao-che-bao-jing-qi 倒车报警器
dao-che-deng 倒车灯
dao-che-deng-kai-guan 倒车灯开关
dao-che-jing 倒车镜
dao-che-jing-ke 倒车镜壳
dao-che-jing-pian 倒车镜片
dao-che-jing-tiao-jie-dian-ji 倒车镜调节电机
dao-che-jing-tiao-jie-kai-guan 倒车镜调节开关
dao-che-jing-zhi-jia 倒车镜支架
dao-che-jing-zhi-jia-zuo 倒车镜支架座
dao-che-jing-zong-cheng 倒车镜总成
dao-che-lei-da 倒车雷达
dao-dang-bo-cha-zhou-zong-cheng 倒档拨叉轴总成
dao-dang-chi-lun-zhou 倒档齿轮轴
dao-dang-kai-guan 倒档开关
dao-dang-you-dong-chi-lun 倒档游动齿轮
dao-dang-zhou 倒档轴
dao-feng-ban 导风板
dao-feng-zhuang-zhi 导风装置
dao-gou-nei-rong 导购内容
dao-gou-zhuan-ti 导购专题
dao-liu-ban 导流板
dao-qi 道奇
dao-xiang-cao 导向槽
dao-xiang-cao-zong-qi 导向操纵器
dao-xiang-tao-tong 导向套筒
dao-xiang-xiao 导向销
dao-you-huan-zong-cheng 导油环总成
de-mi-ou 德米欧
deng-guang-tiao-jie-kai-guan 灯光调节开关
deng-su-wan-xiang-jie 等速万向节
di-dang-duan 低档段
di-gou-she-shi 地沟设施
di-hao 帝豪
di-hu-ban 底护板
di-pan 底盘
di-pan-ce-gong-ji 地盘测功机
di-pan-che-jia 底盘车架
di-pan-hao 底盘号
di-pan-ji-shu 底盘技术
di-pan-qian-xuan-gao-du 底盘前悬高度
di-pan-xi-lie 底盘系列
di-pan-xi-tong 底盘系统
di-ya-dan-xiang-fa 低压单向阀
di-ya-guan 低压管
di-yin-la-ba 低音喇叭
dian-chi-he-di-tuo 电池盒底托
dian-chi-he-hu-ban 电池盒护板
dian-chi-he-hua-ban 电池盒滑板
dian-chi-he-hua-dao 电池盒滑道
dian-chi-he-shou-bing 电池盒手柄
dian-chi-he-you-gai 电池盒右盖
dian-chi-he-zuo-gai 电池盒左盖
dian-chi-you-gai-ban 电池右盖板
dian-chi-zuo-gai-ban 电池左盖板
dian-ci-kai-guan 电磁开关
dian-ci-li-he-qi 电磁离合器
dian-dong-che-zhuan-yong-pei-jian 电动车专用配件
dian-dong-feng-shan 电动风扇
dian-dong-jiao-pan 电动绞盘
dian-huo-kai-guan 点火开关
dian-huo-xian-quan 点火线圈
dian-ji-dai 电机带
dian-kuai-ti 垫块体
dian-nao-xi-che 电脑洗车
dian-pen 电喷
dian-ping-jia 电瓶架
dian-ping-shui 电瓶水
dian-ping-xian 电瓶线
dian-qi-jian 电器件
dian-xian-jia-dai 电线夹带
dian-yan-qi 点烟器
dian-yuan-kai-guan-shou-bing 电源开关手柄
dian-yuan-suo 电源锁
dian-yuan-zong-kai-guan 电源总开关
dian-zi-dian-kong 电子电控
dian-zi-dong-li-ping-heng 电子动力平衡
dian-zi-shan-guang-qi 电子闪光器
dian-zi-wen-ding-cheng-xu 电子稳定程序
dian-zi-wen-ding-zhuang-zhi 电子稳定装置
dian-zi-zhen-kong-beng 电子真空泵
dian-zi-zhi-dong-li-fen-pei-xi-tong 电子制动力分配系统
diao-jia-jiao-kuai 吊架胶块
diao-jia-tie-ke 吊架铁壳
diao-qi-men-jian-xi 掉气门间隙
die-sha-pian 碟刹片
die-xing-dian-quan 碟型垫圈
ding-feng-yi 定风翼
ding-xin-tao-tong 定心套筒
ding-zhi-tu-lun-zhou 顶置凸轮轴
ding-zhong-dan-huang 定中弹簧
ding-zhong-zuo-huan 定中座环
dong-fang-zhi-zi-hai-xun 东方之子海迅
dong-feng-ben-tian 东风本田
dong-feng-biao-zhi 东风标致
dong-feng-han-ma 东风汗马
dong-feng-qi-che 东风汽车
dong-feng-ri-chan 东风日产
dong-feng-xue-tie-long 东风雪铁龙
dong-feng-yu-an 东风渝安
dong-feng-yue-da-qi-ya 东风悦达起亚
dong-feng-yue-ye 东风越野
dong-nan-dao-qi 东南道奇
dong-nan-ke-lai-si-le 东南克莱斯勒
dong-nan-qi-che 东南汽车
dong-nan-san-ling 东南三菱
dong-ping-heng-kuai 动平衡块
du-shi-cai-hong 都市彩虹
du-shi-jun-ma 都市骏马
du-shi-wei-ling 都市威菱
du-shu-xian-quan 读数线圈
duan-fa-dong-ji 短发动机
duan-mian-chi 端面齿
duan-zhou-fa-lan 短轴法兰
dui-kai-shi-zhui-xing-qi-men-suo-pian 对开式锥形气门锁片
duo-dian-dian-pen 多点电喷
duo-gong-neng-kai-guan 多功能开关
duo-gong-neng-shang-wu-che 多功能商务车
duo-lun-zhi-tui-dian 惰轮止推垫
duo-lun-zhou-chen-tao 惰轮轴衬套
duo-lun-zhou-luo-mu 惰轮轴螺母
duo-lun-zhou-si-jian-tao 惰轮轴四件套
duo-lun-zhou-suo-pian 惰轮轴锁片
duo-lun-zu-he-jian 惰轮组合件
duo-yong-tu-qi-che 多用途汽车
e-liu-fa 扼流阀
er-dao-liang 二道梁
er-shou-che 二手车
er-zhou-dao-dang-lun 二轴倒档轮
er-zhou-er-dang-lun 二轴二档轮
er-zhou-hou-zhou-cheng-dang-pian 二轴后轴承档片
er-zhou-hou-zhou-cheng-gai 二轴后轴承盖
er-zhou-san-dang-chi-lun 二轴三档齿轮
er-zhou-san-dang-lun 二轴三档轮
er-zhou-si-dang-chi-lun 二轴四档齿轮
er-zhou-yi-dang-lun 二轴一档轮
er-zhou-yi-dang-zhou-cheng-zuo 二轴一档轴承座
fa-bi-ya-yi-bi-sa 法比亚伊比萨
fa-dian-ji-pi-dai 发电机皮带
fa-dian-ji-pi-dai-lun 发电机皮带轮
fa-dian-ji-tiao-jie-qi 发电机调节器
fa-dian-ji-zhang-jin-qi 发电机涨紧器
fa-dong-ji 发动机
fa-dong-ji-fang-dao-suo-zhi-xi-tong 发动机防盗锁止系统
fa-dong-ji-fu-dian 发动机付垫
fa-dong-ji-gai-suo 发动机盖锁
fa-dong-ji-gai-suo-la-xian 发动机盖锁拉线
fa-dong-ji-gai-suo-zhi-jia 发动机盖锁支架
fa-dong-ji-gang-gai 发动机缸盖
fa-dong-ji-hao 发动机号
fa-dong-ji-jiao-dian 发动机胶垫
fa-dong-ji-jiao-dian-luo-si 发动机胶垫螺丝
fa-dong-ji-jie-gou-yuan-li 发动机结构原理
fa-dong-ji-ruan-dian-gai-ban 发动机软垫盖板
fa-dong-ji-shuang-tou-luo-shuan 发动机双头螺栓
fa-dong-ji-tuo-jia 发动机托架
fa-dong-ji-xi-lie 发动机系列
fa-dong-ji-xi-tong 发动机系统
fa-dong-ji-xian-shu 发动机线束
fa-dong-ji-xuan-gua-zhi-jia 发动机悬挂支架
fa-dong-ji-you-di-ke 发动机油底壳
fa-dong-ji-you-zhi-jia 发动机右支架
fa-dong-ji-zhang-jin-qi 发动机涨紧器
fa-dong-ji-zhi-jia 发动机支架
fa-dong-ji-zhi-jia-luo-shuan 发动机支架螺栓
fa-dong-ji-zong-cheng 发动机总成
fa-la-li 法拉利
fa-la-li-ya-ke-shi 法拉利雅科仕
fa-la-li-yue-ye-che 法拉利越野车
fan-guang-tiao 反光条
fan-wei-dang-suo-tan-huang 范围挡锁弹簧
fan-wei-dang-suo-tan-huang 范围档锁弹簧
fan-wei-dang-suo-xiao 范围档锁销
fan-zhuan-zhi-jia 翻转支架
fan-zhuan-zhou 翻转轴
fang-bao-mo 防爆膜
fang-bao-si-xi-tong 防抱死系统
fang-bao-zhi-dong-xi-tong 防抱制动系统
fang-che 房车
fang-chen-zhao 防尘罩
fang-da-hua 防打滑
fang-dao-kong-zhi-dan-yuan 防盗控制单元
fang-dao-luo-si 防盗螺丝
fang-dao-qi 防盗器
fang-dong-beng 防冻泵
fang-dong-ye 防冻液
fang-hu-bo-mo 防护薄膜
fang-hua-kong-zhi-xi-tong 防滑控制系统
fang-hua-xi-tong 防滑系统
fang-kong-deng 防空灯
fang-shi-ji-hu-ban 防石击护板
fang-shui-tao-guan 放水套管
fang-si-suo-sha-che-xi-tong 防死锁刹车系统
fang-si-suo-xun-ji-xi-tong 防死锁循迹系统
fang-wu-deng 防雾灯
fang-xiang-ji-wan-xiang-jie 方向机万向节
fang-xiang-ji-wan-xiang-jie-cha 方向机万向节叉
fang-xiang-ji-xiao-gai 方向机小盖
fang-xiang-ji-zhi-jia 方向机支架
fang-xiang-ji-zong-cheng 方向机总成
fang-xiang-pan 方向盘
fang-xiang-pan-tao 方向盘套
fang-xiang-pan-zhu-li-qiu 方向盘助力球
fang-xiang-you-guan 方向油管
fang-xuan-mu 防眩目
fang-you-jian-dang-ban 防油溅挡板
fang-you-luo-sai-zong-cheng 放油螺塞总成
fang-you-luo-si 放油螺丝
fang-you-sai 放油塞
fang-zhuang-jia-qiang-ban 防撞加强板
fang-zhuang-jiao 防撞胶
fang-zhuang-tiao 防撞条
fei-de-la 菲德拉
fei-die-qi-che 飞碟汽车
fei-du 飞度
fei-lun-chi-quan 飞轮齿圈
fei-lun-huan-chi-lun 飞轮环齿轮
fei-qi-hui-shou-guan 废气回收管
fei-qi-ruan-guan 废气软管
fei-qi-xun-huan 废气循环
fei-qi-zai-xun-huan 废气再循环
fei-qi-zhi-dong-qi-guan 废气制动气管
fei-qi-zhi-dong-qi-zong-cheng 废气制动器总成
fei-ya-te 菲亚特
fen-dian-ji 分电机
fen-dong-xiang 分动箱
fen-huo-tou 分火头
fen-huo-xian 分火线
fen-li-gan-cha-tan-huang-pian 分离杆叉弹簧片
fen-li-gang-gan 分离杠杆
fen-li-gang-gan-huang 分离杠杆簧
fen-li-gang-gan-hui-wei-huang 分离杠杆回位簧
fen-li-gang-gan-xiao 分离杠杆销
fen-li-zhou-cheng 分离轴承
feng-dang-gua-shui-qi 风档刮水器
feng-hua-yi-hao 风华一号
feng-jing-ai-er-fa 风景爱尔法
feng-jing-chong-lang 风景冲浪
feng-jing-hai-shi 风景海狮
feng-rui 风锐
feng-shan-dai 风扇带
feng-shan-pi-dai-lun 风扇皮带轮
feng-tian 丰田
feng-xing-qi-che 风行汽车
feng-ya 风雅
feng-ya-hou-wei-deng 风雅后尾灯
feng-zhe 锋哲
fo-lun-er 佛轮尔
fu-che-jia 副车架
fu-di 福迪
fu-di-qi-che 富迪汽车
fu-gang-ban 付钢板
fu-gang-ban-zong-cheng 付钢板总成
fu-he-chen-tao 复合衬套
fu-ji-jie-di 负极接地
fu-ke-si 福克斯
fu-lai-er 福莱尔
fu-li-ka 富利卡
fu-mei-lai 福美来
fu-qi 富奇
fu-qi-dai 副气袋
fu-qi-nang 副气囊
fu-rui-di 福瑞迪
fu-shou-xiang 扶手箱
fu-shui-xiang 副水箱
fu-te 福特
fu-te-quan-shun-kuai-yun 福特全顺快运
fu-tian-chuan-qi 福田传奇
fu-tian-qi-che 福田汽车
fu-wei-huan 复位环
fu-xiang 副箱
fu-xiang-zhi-dian 副箱纸垫
fu-zhou-chuan-dong-chi-lun 副轴传动齿轮
fu-zhou-duan-gai 副轴端盖
fu-zhou-duan-gai-chen-dian 副轴端盖衬垫
fu-zhou-san-dang-chi-lun 副轴三档齿轮
gai-nian-che-lan-sheng 概念车揽胜
gai-nian-che-zhu-xi 概念车主席
gan-zao-guan 干燥罐
gan-zao-qi-zhi-jia 干燥器支架
gang-ban-tan-huang-tuo 钢板弹簧托
gang-bei 钢背
gang-quan 钢圈
gang-tai 杠胎
gang-ti-fang-shui-kai-guan 缸体放水开关
gao-dang-duan 高档段
gao-dang-jiao-che 高档轿车
gao-dang-zhui-gu-zong-cheng 高档锥榖总成
gao-di-dang-ding-wei-huan 高低档定位环
gao-er 高尔
gao-wei-sha-che-deng 高位刹车灯
gao-ya-beng-xiu-li-bao 高压泵修理包
gao-ya-guan 高压管
gao-ya-xian-quan 高压线圈
ge-huan 隔环
ge-li-sen-la-chi-ji 格里森拉齿机
ge-luo 阁萝
ge-rui-si 阁瑞斯
ge-yin-cai-liao 隔音材料
gong-gong-bao-jing-zhi-shi-deng 公共报警指示灯
gong-ju-dou 工具斗
gong-ju-xiang-fan-she-qi 工具箱反射器
gong-ju-xiang-gai 工具箱盖
gong-ju-yu-she-bei 工具与设备
gong-lu-ke-yun 公路客运
gong-lu-ke-yun-shou-piao 公路客运售票
gong-qia-zi 弓卡子
gong-tie-liang-yong-che 公铁两用车
gong-you-ti-qian-qi 供油提前器
gong-zuo-beng 工作泵
gong-zuo-deng-kai-guan 工作灯开关
gong-zuo-ma-da 工作马达
gou-che-zi-xun 购车资讯
gu-dai 箍带
gu-dai-zhi-jia 箍带支架
gu-ding-jiao-jian 固定角件
gu-ding-tan-huang 固定弹簧
gu-ding-xiao 固定销
gu-jia-you-feng 骨架油封
gu-qing-sheng 古清生
gu-zhang-zhen-duan-she-bei 故障诊断设备
gua-che-zhi-shi-deng 挂车指示灯
gua-che-zhuan-xiang-zhi-shi-deng 挂车转向指示灯
gua-pian 刮片
gua-shui-qi 刮水器
guang-ben-feng-fan 广本锋范
guang-qi-feng-tian 广汽丰田
guang-qi-ji-tuan 广汽集团
guang-zhou-bao-long 广州宝龙
guang-zhou-ben-tian 广州本田
guang-zhou-feng-tian 广州丰田
guang-zhou-wu-shi-ling 广州五十铃
gui-guan-ku-bei 桂冠库贝
gui-you-feng-shan-zhou-cheng 硅油风扇轴承
gui-you-nian-xing-li-he-qi 硅油粘性离合器
gun-lun-xiao 滚轮销
gun-zhen-long 滚针笼
gun-zhen-tao 滚针套
gun-zhen-zhou-cheng 滚针轴承
gun-zhu-xing-tao-tong 滚柱型套筒
guo-qiao-xiang-gai 过桥箱盖
guo-qiao-xiang-ke 过桥箱壳
ha-fei-qi-che 哈飞汽车
hai-fu-xing 海福星
hai-la-ke-si 海拉克斯
hai-ma-qi-che 海马汽车
hai-shang-ou-bao 海尚欧宝
hai-xuan 海炫
hai-xun 海迅
han-lan-da 汉兰达
han-ma 悍马
hao-hua-jiao-che 豪华轿车
hao-jue-yue-guan 豪爵悦冠
hao-jue-yue-xing 豪爵悦星
hao-le 豪乐
hao-qing 豪情
hao-qing-feng 郝庆丰
hao-rui 昊锐
hao-wo 豪沃
hei-bao-qi-che 黑豹汽车
hei-diao-meng-di-ou 黑貂蒙迪欧
heng-bai-li-ou-ju 横摆力偶矩
heng-la-gan 横拉杆
heng-la-gan-jie-tou 横拉杆接头
heng-la-gan-qiu-tou 横拉杆球头
heng-xiang-tui-li-gan 横向推力杆
hong-lv-deng 红绿灯
hong-qi-qi-jian 红旗旗舰
hou-bao 后保
hou-bao-xian-gang 后保险杠
hou-bao-xian-gang-mian-ban 后保险杠面板
hou-bei-men 后备门
hou-bei-tai 后备胎
hou-bei-xiang 后备箱
hou-bi-shi-ban 后壁饰板
hou-bian-tiao 后边条
hou-chuang-bo-li 后窗玻璃
hou-dang-feng-bo-li 后挡风玻璃
hou-feng-dang 后风挡
hou-gai 后盖
hou-gang 后杠
hou-gang-ban 后钢板
hou-gang-ban-chen-tao 后钢板衬套
hou-gang-ban-qi-ma-luo-shuan 后钢板骑马螺栓
hou-gang-ban-qian-zhi-jia 后钢板前支架
hou-gang-ban-tan-huang-qian-xiao 后钢板弹簧前销
hou-gang-ban-xiao 后钢板销
hou-gang-ban-zhong-xin-luo-mu 后钢板中心螺母
hou-gang-ban-zhong-xin-luo-shuan 后钢板中心螺栓
hou-gang-ban-zong-cheng 后钢板总成
hou-gang-dao-xiang-cao 后杠导向槽
hou-gang-fang-zhuang-tiao 后杠防撞条
hou-ge-jiao 后搁脚
hou-hu-ban-you 后护板右
hou-hu-ban-zhuang-shi-jian 后护板装饰件
hou-hu-ban-zuo 后护板左
hou-jian-zhen 后减震
hou-jian-zhen-qi 后减震器
hou-jian-zhen-qi-jiao-dun 后减震器胶墩
hou-jiao-ta-ban 后脚踏板
hou-lun 后轮
hou-lun-luo-mu 后轮螺母
hou-lun-qu-dong 后轮驱动
hou-lun-suo-pian 后轮锁片
hou-lun-tai-luo-shuan 后轮胎螺栓
hou-lun-you-feng-zuo-quan 后轮油封座圈
hou-ni-wa 后泥瓦
hou-pai-qi-qi-guan 后排气歧管
hou-pan-shi-hou-qiao-zong-cheng 后盘式后桥总成
hou-pian 后片
hou-qiao 后桥
hou-qiao-ben-ti 后桥本体
hou-qiao-ke 后桥壳
hou-qiao-luo-si 后桥螺丝
hou-qiao-zong-cheng 后桥总成
hou-sha-che-pian 后刹车片
hou-sha-che-xian 后刹车线
hou-shi-jing 后视镜
hou-wei-deng 后尾灯
hou-wei-deng-zhao 后尾灯罩
hou-wei-deng-zhi-jia 后尾灯支架
hou-wei-lian-jie-tiao 后尾连接条
hou-wu-deng 后雾灯
hou-xiao-yin-qi 后消音器
hou-xuan 后悬
hou-you-zhuan-xiang-deng 后右转向灯
